idProject,nameProject,testCase,tloc,tmcCabe,assertionDensity,assertionRoulette,mysteryGuest,eagerTest,sensitiveEquality,resourceOptimism,conditionalTestLogic,fireAndForget,testRunWar,loc,lcom2,lcom5,cbo,wmc,rfc,mpc,halsteadVocabulary,halsteadLength,halsteadVolume,classDataShouldBePrivate,complexClass,functionalDecomposition,godClass,spaghettiCode,isFlaky
39,karate,jobtest.simple.SimpleDockerJobRunner.testJobManager,5.0,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,22.0,0.0,0.0,5.0,1.0,5.0,4.0,30.0,20.0,68.02394763324311,0,0,1,0.0,0.0,0
39,karate,jobtest.simple.SimpleLocalJobRunner.testJobManager,2.0,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,42.0,0.0,0.0,9.0,1.0,1.0,0.0,50.0,41.0,160.39294322255398,0,0,1,0.0,0.0,0
39,karate,jobtest.simple.SimpleRunner.test,5.0,1.0,0.0,1.0,0.0,0,0.0,0,0.0,0.0,0.0,22.0,0.0,0.0,5.0,1.0,9.0,8.0,28.0,18.0,59.97968118315367,0,0,1,0.0,0.0,0
39,karate,jobtest.web.WebDockerJobRunner.test,6.0,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,23.0,0.0,0.0,5.0,1.0,6.0,5.0,34.0,21.0,74.05357101693939,0,0,1,0.0,0.0,0
39,karate,jobtest.web.WebDockerRunner.test,5.0,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,26.0,0.0,0.0,4.0,1.0,6.0,5.0,28.0,18.0,59.97968118315367,0,0,1,0.0,0.0,0
39,karate,jobtest.web.WebRunner.test,5.0,1.0,0.0,1.0,0.0,0,0.0,0,0.0,0.0,0.0,22.0,0.0,0.0,5.0,1.0,9.0,8.0,28.0,18.0,59.97968118315367,0,0,1,0.0,0.0,0
39,karate,ui.MockRunner.testStart,5.0,1.0,0.0,0.0,3.0,0,0.0,1,0.0,0.0,0.0,22.0,0.0,0.0,4.0,1.0,4.0,3.0,58.0,44.0,178.65949246404244,0,0,1,0.0,0.0,0
39,karate,ui.UiRunner.beforeAll,5.0,2.0,0.0,0.0,3.0,0,0.0,1,2.0,0.0,0.0,23.0,1.0,0.0,5.0,4.0,7.0,5.0,38.0,23.0,83.66448167370687,0,0,2,0.0,0.0,0
39,karate,ui.UiRunner.testUi,3.0,2.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,23.0,1.0,0.0,5.0,4.0,7.0,5.0,38.0,23.0,83.66448167370687,0,0,2,0.0,0.0,0
39,karate,com.intuit.karate.ConfigTest.testSettingVariableViaKarateConfig,8.0,2.0,0.0,0.0,2.0,0,0.0,0,1.0,0.0,0.0,525.0,1415.0,1.0,7.0,111.0,73.0,15.0,576.0,291.0,1849.6273292625044,0,0,0,0.0,0.0,0
