id,projectName,testCase,isFlaky,assertion-roulette,conditional-test-logic,eager-test,fire-and-forget,indirect-testing,mystery-guest,resource-optimism,test-run-war,testLength,numAsserts,numCoveredLines,ExecutionTime,projectSourceLinesCovered,projectSourceClassesCovered,hIndexModificationsPerCoveredLine_window5,hIndexModificationsPerCoveredLine_window10,hIndexModificationsPerCoveredLine_window25,hIndexModificationsPerCoveredLine_window50,hIndexModificationsPerCoveredLine_window75,hIndexModificationsPerCoveredLine_window100,hIndexModificationsPerCoveredLine_window500,hIndexModificationsPerCoveredLine_window10000,num_third_party_libs
10307,apache-ambari,org.apache.ambari.server.agent.testheartbeathandler.testheartbeat,0,1,0,0,0,0,0,0,0,38.0,2.0,15.0,32.767,346,94,2,2,2,2,2,3,4,4,2
10308,apache-ambari,org.apache.ambari.server.agent.testheartbeathandler.teststatusheartbeat,0,1,0,0,0,0,0,0,0,80.0,2.0,20.0,5.095,344,108,2,2,2,2,2,3,4,4,4
10309,apache-ambari,org.apache.ambari.server.agent.testheartbeathandler.testcommandreport,0,1,0,0,0,0,0,0,0,35.0,5.0,7.0,5.498,302,91,2,2,2,2,2,2,4,4,1
10311,apache-ambari,org.apache.ambari.server.agent.testheartbeathandler.testregistration,0,1,0,0,0,1,0,0,0,26.0,4.0,43.0,5.129,157,61,2,2,2,2,2,3,4,4,7
10312,apache-ambari,org.apache.ambari.server.agent.testheartbeathandler.testregistrationpublichostname,0,1,0,0,0,1,0,0,0,29.0,5.0,49.0,6.699,177,61,2,2,2,2,2,3,4,4,7
10313,apache-ambari,org.apache.ambari.server.agent.testheartbeathandler.testinvalidosregistration,0,0,0,0,0,0,0,0,0,26.0,1.0,12.0,5.024,283,80,2,2,2,2,2,3,4,4,1
10314,apache-ambari,org.apache.ambari.server.agent.testheartbeathandler.testregisternewnode,0,1,0,0,0,1,0,0,0,27.0,5.0,47.0,3.537,178,60,2,2,2,2,2,3,4,4,7
10315,apache-ambari,org.apache.ambari.server.agent.testheartbeathandler.testrequestid,0,1,0,0,0,1,0,0,0,38.0,6.0,38.0,4.978,191,76,2,2,2,2,2,3,4,4,6
10317,apache-ambari,org.apache.ambari.server.agent.testheartbeathandler.teststatecommandsatregistration,0,1,0,0,0,1,0,0,0,33.0,2.0,55.0,4.697,171,60,2,2,2,2,2,3,4,4,10
10318,apache-ambari,org.apache.ambari.server.agent.testheartbeathandler.testtaskinprogresshandling,0,0,0,0,0,1,0,0,0,76.0,1.0,81.0,5.516,247,88,2,2,2,2,2,3,4,4,9
10323,apache-ambari,org.apache.ambari.server.agent.agentresourcetest.agentregistration,0,0,0,0,0,0,0,0,1,11.0,1.0,14.0,2.131,235,38,2,2,2,2,2,2,4,4,21
10324,apache-ambari,org.apache.ambari.server.agent.agentresourcetest.agentheartbeat,0,0,0,0,0,0,0,0,1,12.0,1.0,14.0,15.929,244,40,2,2,2,2,2,2,4,4,23
10325,apache-ambari,org.apache.ambari.server.agent.testactionqueue.testconcurrentoperations,1,1,1,0,1,0,0,0,1,72.0,3.0,2.0,16.868,22,7,1,1,1,1,1,1,3,3,0
10328,apache-ambari,org.apache.ambari.server.agent.testheartbeatmonitor.teststatecommandsgeneration,0,1,0,0,0,0,0,0,1,63.0,6.0,24.0,8.965,327,103,2,2,2,2,2,3,4,4,4
10329,apache-ambari,org.apache.ambari.server.agent.testheartbeatmonitor.testheartbeatstatecommandsenqueueing,1,1,1,1,1,1,0,0,1,65.0,3.0,70.0,10.873,222,77,2,2,2,2,2,3,4,4,14
10330,apache-ambari,org.apache.ambari.server.agent.testheartbeatmonitor.testheartbeatloss,0,0,0,0,0,0,0,0,1,31.0,1.0,26.0,32.337,330,91,2,2,2,2,2,3,4,4,4
10333,apache-ambari,org.apache.ambari.server.security.authorization.testusers.testgetallusers,0,1,0,1,0,1,0,0,0,21.0,5.0,19.0,7.23,80,34,2,2,2,2,2,2,4,4,1
10334,apache-ambari,org.apache.ambari.server.security.authorization.testusers.testmodifypassword,0,1,0,1,0,1,0,0,0,16.0,4.0,16.0,29.881,268,62,2,2,2,2,2,2,4,4,2
10335,apache-ambari,org.apache.ambari.server.security.authorization.testusers.testpromoteuser,0,1,0,1,0,1,0,0,0,17.0,4.0,20.0,6.181,273,62,2,2,2,2,2,2,4,4,1
10338,apache-ambari,org.apache.ambari.server.security.authorization.ambarilocaluserdetailsservicetest.testloaduserbyusername,0,1,0,0,0,1,0,0,0,6.0,3.0,14.0,0.144,153,36,2,2,2,2,2,2,4,4,5
10339,apache-ambari,org.apache.ambari.server.security.authorization.ambarilocaluserdetailsservicetest.testusernamenotfound,0,0,0,0,0,0,0,0,0,3.0,0.0,10.0,0.843,144,36,2,2,2,2,2,2,4,4,0
10340,apache-ambari,org.apache.ambari.server.security.authorization.ambarilocaluserdetailsservicetest.testemptyroles,0,0,0,0,0,1,0,0,0,4.0,0.0,3.0,0.157,10,5,1,1,1,1,1,1,2,2,1
10343,apache-ambari,org.apache.ambari.server.security.authorization.ambarildapauthenticationprovidertest.testbadcredential,1,0,0,0,0,0,0,0,0,4.0,0.0,0.0,1.827,14,12,1,1,1,1,1,1,2,2,0
10344,apache-ambari,org.apache.ambari.server.security.authorization.ambarildapauthenticationprovidertest.testauthenticate,1,1,0,0,0,0,0,0,0,9.0,4.0,8.0,17.668,141,38,2,2,2,2,2,2,4,4,0
10345,apache-ambari,org.apache.ambari.server.security.authorization.ambarildapauthenticationprovidertest.testdisabled,0,0,0,0,0,1,0,0,0,6.0,1.0,1.0,0.556,15,11,1,1,1,1,1,1,2,2,1
10349,apache-ambari,org.apache.ambari.server.security.authorization.ldapserverpropertiestest.testgetldapurls,0,1,0,1,0,1,0,0,0,13.0,6.0,12.0,0.062,16,4,1,1,1,1,1,1,2,2,0
10350,apache-ambari,org.apache.ambari.server.security.authorization.ldapserverpropertiestest.testgetusersearchfilter,0,1,0,1,0,1,0,0,0,5.0,2.0,4.0,0.012,7,4,1,1,1,1,1,1,2,2,0
10351,apache-ambari,org.apache.ambari.server.security.authorization.ldapserverpropertiestest.testequals,0,1,0,1,0,1,0,0,0,9.0,4.0,8.0,0.002,31,4,1,1,1,1,1,1,2,2,0
10352,apache-ambari,org.apache.ambari.server.security.authorization.authorizationhelpertest.testconvertrolestoauthorities,0,1,0,0,0,1,0,0,0,16.0,2.0,12.0,0.099,17,3,1,1,1,1,1,1,2,2,1
10353,apache-ambari,org.apache.ambari.server.api.handlers.deletehandlertest.testhandlerequest__synchronous,0,1,1,0,0,1,0,0,0,56.0,4.0,39.0,0.323,70,7,2,2,2,2,2,3,3,3,0
10354,apache-ambari,org.apache.ambari.server.api.handlers.deletehandlertest.testhandlerequest__asynchronous,0,1,1,0,0,1,0,0,0,62.0,8.0,43.0,0.021,82,10,2,2,2,2,2,3,3,3,0
10355,apache-ambari,org.apache.ambari.server.api.handlers.delegatingrequesthandlertest.testhandlerequest_get,0,0,0,0,0,1,0,0,0,21.0,1.0,15.0,0.013,23,4,1,1,1,1,1,2,2,2,0
10356,apache-ambari,org.apache.ambari.server.api.handlers.delegatingrequesthandlertest.testhandlerequest_put,0,0,0,0,0,1,0,0,0,21.0,1.0,15.0,0.017,18,3,1,1,1,1,1,2,2,2,0
10357,apache-ambari,org.apache.ambari.server.api.handlers.delegatingrequesthandlertest.testhandlerequest_post,0,0,0,0,0,1,0,0,0,21.0,1.0,15.0,0.003,19,3,1,1,1,1,1,2,2,2,0
10358,apache-ambari,org.apache.ambari.server.api.handlers.delegatingrequesthandlertest.testhandlerequest_delete,0,0,0,0,0,1,0,0,0,21.0,1.0,15.0,0.001,23,4,1,1,1,1,1,2,2,2,0
10359,apache-ambari,org.apache.ambari.server.api.handlers.createhandlertest.testhandlerequest__synchronous,0,1,1,0,0,1,0,0,0,51.0,4.0,36.0,0.058,67,7,2,2,2,2,2,3,4,4,0
10360,apache-ambari,org.apache.ambari.server.api.handlers.createhandlertest.testhandlerequest__asynchronous,0,1,1,0,0,1,0,0,0,61.0,8.0,42.0,3.073,80,10,2,2,2,2,2,3,3,3,0
10361,apache-ambari,org.apache.ambari.server.api.handlers.querycreatehandlertest.testhandlerequest,0,1,1,0,0,1,0,0,0,139.0,3.0,103.0,0.041,138,11,2,2,2,2,2,3,3,3,0
10362,apache-ambari,org.apache.ambari.server.api.handlers.updatehandlertest.testhandlerequest__synchronous,0,1,1,0,0,1,0,0,0,56.0,4.0,41.0,0.012,73,7,2,2,2,2,2,3,3,3,0
10363,apache-ambari,org.apache.ambari.server.api.handlers.updatehandlertest.testhandlerequest__asynchronous,0,1,1,0,0,1,0,0,0,66.0,8.0,47.0,3.103,84,10,2,2,2,2,2,3,3,3,0
10364,apache-ambari,org.apache.ambari.server.api.handlers.readhandlertest.testhandlerrequest,0,0,0,0,0,1,0,0,0,33.0,1.0,26.0,3.458,46,6,2,2,2,2,2,2,4,4,0
10365,apache-ambari,org.apache.ambari.server.api.query.queryimpltest.testexecute__component_instance_nospecifiedprops,0,1,0,0,0,0,0,0,0,78.0,6.0,2.0,0.033,30,15,2,2,2,2,2,2,3,3,0
10366,apache-ambari,org.apache.ambari.server.api.query.queryimpltest.testexecute__component_collection_nospecifiedprops,0,1,0,0,0,0,0,0,0,67.0,4.0,3.0,0.061,47,18,2,2,2,2,2,2,3,3,0
10367,apache-ambari,org.apache.ambari.server.api.query.queryimpltest.testexecute__collection_nullinternalpredicate_nulluserpredicate,0,1,0,0,0,0,0,0,0,49.0,4.0,2.0,0.006,25,9,2,2,2,2,2,2,3,3,0
10368,apache-ambari,org.apache.ambari.server.api.query.queryimpltest.testexecute__collection_nullinternalpredicate_nonnulluserpredicate,0,1,0,1,0,0,0,0,0,48.0,4.0,2.0,0.021,26,9,2,2,2,2,2,2,2,2,0
10369,apache-ambari,org.apache.ambari.server.api.query.queryimpltest.testexecute__collection_nonnullinternalpredicate_nonnulluserpredicate,0,1,0,1,0,0,0,0,0,74.0,4.0,3.0,0.016,43,18,2,2,2,2,2,2,3,3,0
10370,apache-ambari,org.apache.ambari.server.api.query.queryimpltest.testaddproperty__localproperty,0,1,0,0,0,0,0,0,0,32.0,4.0,1.0,0.005,12,4,2,2,2,2,2,2,3,3,0
10371,apache-ambari,org.apache.ambari.server.api.query.queryimpltest.testaddproperty__localcategory,0,1,0,0,0,0,0,0,0,43.0,7.0,1.0,0.645,19,5,1,1,1,1,1,2,3,3,0
10372,apache-ambari,org.apache.ambari.server.api.query.queryimpltest.testaddproperty__localsubcategory,0,1,0,0,0,0,0,0,0,38.0,4.0,1.0,0.001,17,4,2,2,2,2,2,2,3,3,0
10373,apache-ambari,org.apache.ambari.server.api.query.queryimpltest.testaddproperty__localcategorysubpropsonly,0,1,0,0,0,1,0,0,0,37.0,5.0,2.0,0.012,24,4,2,2,2,2,2,2,3,3,0
10374,apache-ambari,org.apache.ambari.server.api.query.queryimpltest.testaddproperty__subproperty,0,0,0,0,0,0,0,0,0,29.0,0.0,1.0,0.006,15,5,1,1,1,1,1,2,3,3,0
