id,projectName,testCase,isFlaky,assertion-roulette,conditional-test-logic,eager-test,fire-and-forget,indirect-testing,mystery-guest,resource-optimism,test-run-war,testLength,numAsserts,numCoveredLines,ExecutionTime,projectSourceLinesCovered,projectSourceClassesCovered,hIndexModificationsPerCoveredLine_window5,hIndexModificationsPerCoveredLine_window10,hIndexModificationsPerCoveredLine_window25,hIndexModificationsPerCoveredLine_window50,hIndexModificationsPerCoveredLine_window75,hIndexModificationsPerCoveredLine_window100,hIndexModificationsPerCoveredLine_window500,hIndexModificationsPerCoveredLine_window10000,num_third_party_libs
2,Alluxio-alluxio,tachyon.masterclienttest.openclosetest,1,1,0,1,0,1,0,0,0,14.0,6.0,16.0,1.775,314,120,1,2,2,2,2,2,4,5,14
5,Alluxio-alluxio,tachyon.workerservicehandlertest.overcapacityrequestspacetest,1,1,0,0,0,0,0,0,0,4.0,2.0,18.0,0.121,238,110,1,2,2,2,2,3,5,5,9
6,Alluxio-alluxio,tachyon.workerservicehandlertest.totalovercapacityrequestspacetest,1,1,0,0,0,0,0,0,0,6.0,4.0,20.0,1.088,250,112,1,2,2,2,2,3,5,5,11
7,Alluxio-alluxio,tachyon.workerservicehandlertest.returnspacetest,1,1,0,1,0,0,0,0,0,8.0,4.0,20.0,0.119,248,112,1,2,2,2,2,3,5,5,13
8,Alluxio-alluxio,tachyon.workerservicehandlertest.overreturnspacetest,1,1,0,1,0,0,0,0,0,6.0,3.0,18.0,1.739,308,124,1,2,2,2,2,3,5,5,6
9,Alluxio-alluxio,tachyon.workerservicehandlertest.evictiontest,1,1,0,0,0,1,0,0,0,26.0,9.0,40.0,0.32,760,185,1,3,3,3,3,3,5,6,28
12,Alluxio-alluxio,tachyon.journaltest.emptyimagetest,1,1,0,0,1,1,0,0,0,8.0,2.0,38.0,0.115,250,105,1,2,2,3,3,3,5,5,21
14,Alluxio-alluxio,tachyon.journaltest.filetest,1,0,0,0,1,1,0,0,0,13.0,0.0,37.0,0.114,325,127,1,2,2,2,2,3,5,5,23
15,Alluxio-alluxio,tachyon.journaltest.foldertest,1,0,0,0,1,1,0,0,0,13.0,0.0,41.0,0.106,329,127,1,2,2,2,2,3,4,5,25
15,Alluxio-alluxio,tachyon.journaltest.foldertest,1,0,0,0,1,1,0,0,0,13.0,0.0,41.0,0.106,329,127,1,2,2,2,2,3,4,5,25
16,Alluxio-alluxio,tachyon.journaltest.foldertest,1,0,0,0,1,1,0,0,0,13.0,0.0,41.0,0.106,329,127,1,2,2,2,2,3,4,5,25
16,Alluxio-alluxio,tachyon.journaltest.foldertest,1,0,0,0,1,1,0,0,0,13.0,0.0,41.0,0.106,329,127,1,2,2,2,2,3,4,5,25
17,Alluxio-alluxio,tachyon.journaltest.tabletest,1,1,0,0,1,1,0,0,0,9.0,4.0,41.0,0.12,363,129,1,2,2,2,2,3,5,5,23
17,Alluxio-alluxio,tachyon.journaltest.tabletest,1,1,0,0,1,1,0,0,0,9.0,4.0,41.0,0.12,363,129,1,2,2,2,2,3,5,5,23
18,Alluxio-alluxio,tachyon.journaltest.tabletest,1,1,0,0,1,1,0,0,0,9.0,4.0,41.0,0.12,363,129,1,2,2,2,2,3,5,5,23
18,Alluxio-alluxio,tachyon.journaltest.tabletest,1,1,0,0,1,1,0,0,0,9.0,4.0,41.0,0.12,363,129,1,2,2,2,2,3,5,5,23
20,Alluxio-alluxio,tachyon.journaltest.manyfiletest,1,0,0,0,1,1,0,0,0,14.0,0.0,37.0,0.148,278,126,1,2,2,3,3,3,5,5,22
22,Alluxio-alluxio,tachyon.journaltest.filefoldertest,1,0,0,0,0,1,0,0,0,17.0,0.0,20.0,2.177,486,153,1,2,2,2,2,2,5,5,13
24,Alluxio-alluxio,tachyon.journaltest.renametest,1,0,0,0,1,1,0,0,0,19.0,0.0,37.0,0.326,332,132,1,2,2,3,3,3,5,5,25
26,Alluxio-alluxio,tachyon.journaltest.deletetest,1,0,1,0,1,1,0,0,0,23.0,0.0,37.0,0.324,330,132,1,2,2,3,3,3,4,5,25
28,Alluxio-alluxio,tachyon.journaltest.addblocktest,1,0,0,0,1,1,0,0,0,19.0,0.0,41.0,0.276,507,161,1,3,3,3,3,3,5,5,25
30,Alluxio-alluxio,tachyon.journaltest.addcheckpointtest,1,0,0,0,1,1,0,0,0,16.0,0.0,42.0,0.2,486,153,1,2,2,2,2,2,5,5,29
33,Alluxio-alluxio,tachyon.dataservertest.readtest,1,0,1,0,0,1,1,1,0,20.0,1.0,25.0,0.132,386,152,1,2,2,3,3,3,5,5,25
34,Alluxio-alluxio,tachyon.dataservertest.readpartialtest1,1,0,1,0,0,1,0,0,0,22.0,1.0,17.0,1.985,795,193,1,3,3,3,3,3,4,5,18
35,Alluxio-alluxio,tachyon.dataservertest.readpartialtest2,1,0,1,0,0,1,1,1,0,22.0,1.0,25.0,0.121,370,152,1,2,2,3,3,3,4,5,25
36,Alluxio-alluxio,tachyon.userinfotest.constructortest,0,0,0,0,0,0,0,0,0,6.0,1.0,1.0,0.01,5,2,0,0,0,1,0,0,2,2,1
37,Alluxio-alluxio,tachyon.userinfotest.constructorwithexceptiontest,0,1,0,0,0,0,0,0,0,7.0,2.0,2.0,0.222,11,4,0,0,0,1,0,0,3,3,2
38,Alluxio-alluxio,tachyon.userinfotest.addownbytestest,0,0,0,1,0,0,0,0,0,8.0,1.0,6.0,0.001,8,2,0,0,0,0,0,0,1,1,5
39,Alluxio-alluxio,tachyon.userinfotest.getuseridtest,0,0,0,0,0,0,0,0,0,6.0,1.0,1.0,0.003,5,2,0,0,0,1,0,0,3,3,1
