id,projectName,testCase,isFlaky,assertion-roulette,conditional-test-logic,eager-test,fire-and-forget,indirect-testing,mystery-guest,resource-optimism,test-run-war,testLength,numAsserts,numCoveredLines,ExecutionTime,projectSourceLinesCovered,projectSourceClassesCovered,hIndexModificationsPerCoveredLine_window5,hIndexModificationsPerCoveredLine_window10,hIndexModificationsPerCoveredLine_window25,hIndexModificationsPerCoveredLine_window50,hIndexModificationsPerCoveredLine_window75,hIndexModificationsPerCoveredLine_window100,hIndexModificationsPerCoveredLine_window500,hIndexModificationsPerCoveredLine_window10000,num_third_party_libs
10684,hector-client-hector,me.prettyprint.cassandra.serializers.booleanserializertest.testconversions,0,0,0,0,0,0,0,0,0,5.0,0.0,2.0,0.064,5,3,0,0,0,0,0,3,3,3,0
10686,hector-client-hector,me.prettyprint.cassandra.serializers.dateserializertest.testconversions,0,0,0,0,0,0,0,0,0,9.0,0.0,2.0,0.053,7,4,0,0,0,0,0,3,3,3,0
10688,hector-client-hector,me.prettyprint.cassandra.serializers.objectserializertest.testconversions,0,0,0,0,0,0,0,0,0,7.0,0.0,3.0,0.266,8,3,0,0,0,0,0,3,3,3,0
10689,hector-client-hector,me.prettyprint.cassandra.serializers.objectserializertest.testemptybytearray_shouldreturnnull,0,0,0,1,0,0,0,0,0,4.0,1.0,2.0,0.03,5,3,0,0,0,0,0,3,3,3,0
10690,hector-client-hector,me.prettyprint.cassandra.serializers.objectserializertest.testmalformedobject_shouldthrow,0,0,0,1,0,0,0,0,0,4.0,0.0,1.0,0.423,5,4,0,0,0,0,0,3,3,3,0
10692,hector-client-hector,me.prettyprint.cassandra.serializers.typeinferringserializertest.testconversions,0,0,0,0,0,1,0,0,0,7.0,0.0,9.0,0.535,25,9,0,0,0,0,0,3,3,3,0
10693,hector-client-hector,me.prettyprint.cassandra.serializers.typeinferringserializertest.testbyteconversions,0,0,0,1,0,0,0,0,0,5.0,1.0,3.0,0.053,10,5,0,0,0,0,0,3,3,3,0
10695,hector-client-hector,me.prettyprint.cassandra.serializers.integerserializertest.testconversions,0,0,0,0,0,0,0,0,0,8.0,0.0,2.0,0.041,5,3,0,0,0,0,0,3,3,3,0
10700,hector-client-hector,me.prettyprint.cassandra.serializers.bytesarrayserializertest.testconversions,0,0,0,0,0,0,0,0,0,9.0,0.0,2.0,0.837,6,4,0,0,0,0,0,3,3,3,0
10702,hector-client-hector,me.prettyprint.cassandra.serializers.uuidserializertest.testconversions,0,0,0,0,0,0,0,0,0,4.0,0.0,2.0,0.121,5,3,0,0,0,0,0,3,3,3,0
10704,hector-client-hector,me.prettyprint.cassandra.serializers.longserializertest.testconversions,0,0,0,0,0,0,0,0,0,8.0,0.0,2.0,0.063,5,3,0,0,0,0,0,3,3,3,0
10706,hector-client-hector,me.prettyprint.cassandra.connection.roundrobinbalancingpolicytest.testgetpoolok,0,1,0,0,0,0,0,0,0,12.0,9.0,18.0,0.006,21,3,0,0,0,0,2,2,2,2,9
10707,hector-client-hector,me.prettyprint.cassandra.connection.roundrobinbalancingpolicytest.testskipexhausted,0,1,0,0,0,1,0,0,0,11.0,4.0,16.0,2.234,26,7,0,0,0,0,2,3,3,3,15
10709,hector-client-hector,me.prettyprint.cassandra.connection.hconnectionmanagertest.testremovehost,0,1,0,1,0,0,0,0,0,7.0,3.0,5.0,0.066,33,15,0,0,0,1,1,3,3,3,0
10710,hector-client-hector,me.prettyprint.cassandra.connection.hconnectionmanagertest.testaddcassandrahostfail,0,0,0,0,0,0,0,0,0,4.0,1.0,2.0,0.706,48,25,0,0,0,1,2,3,3,3,0
10712,hector-client-hector,me.prettyprint.cassandra.connection.concurrenthclientpooltest.testspinup,0,1,0,1,0,0,0,0,0,6.0,4.0,4.0,0.179,44,14,0,0,0,0,0,3,3,3,0
10713,hector-client-hector,me.prettyprint.cassandra.connection.concurrenthclientpooltest.testshutdown,0,1,0,1,0,0,0,0,0,6.0,3.0,4.0,0.086,44,15,0,0,0,0,0,3,3,3,0
10714,hector-client-hector,me.prettyprint.cassandra.connection.concurrenthclientpooltest.testborrowrelease,0,1,0,1,0,0,0,0,0,6.0,2.0,4.0,0.464,46,23,0,0,0,1,2,3,3,3,0
