id,projectName,testCase,isFlaky,assertion-roulette,conditional-test-logic,eager-test,fire-and-forget,indirect-testing,mystery-guest,resource-optimism,test-run-war,testLength,numAsserts,numCoveredLines,ExecutionTime,projectSourceLinesCovered,projectSourceClassesCovered,hIndexModificationsPerCoveredLine_window5,hIndexModificationsPerCoveredLine_window10,hIndexModificationsPerCoveredLine_window25,hIndexModificationsPerCoveredLine_window50,hIndexModificationsPerCoveredLine_window75,hIndexModificationsPerCoveredLine_window100,hIndexModificationsPerCoveredLine_window500,hIndexModificationsPerCoveredLine_window10000,num_third_party_libs
6045,square-okhttp,com.squareup.okhttp.internal.bitarraytest.hpackusecase,0,1,0,1,0,1,0,0,0,21.0,9.0,12.0,0.001,15,1,0,0,0,2,2,2,2,2,0
6046,square-okhttp,com.squareup.okhttp.internal.bitarraytest.setexpandsdata_fixedcapacity,0,0,0,0,0,1,0,0,0,4.0,1.0,3.0,0.006,4,1,0,0,0,2,2,2,2,2,0
6047,square-okhttp,com.squareup.okhttp.internal.bitarraytest.togglebit_fixedcapacity,0,1,0,0,0,1,0,0,0,7.0,2.0,6.0,0.001,7,1,0,0,0,2,2,2,2,2,0
6048,square-okhttp,com.squareup.okhttp.internal.bitarraytest.shiftleft_fixedcapacity,0,0,0,0,0,1,0,0,0,5.0,1.0,4.0,0.011,5,1,0,0,0,2,2,2,2,2,0
6049,square-okhttp,com.squareup.okhttp.internal.bitarraytest.multipleshifts_fixedcapacity,0,0,0,0,0,1,0,0,0,6.0,1.0,5.0,0.0,6,1,0,0,0,2,2,2,2,2,0
6050,square-okhttp,com.squareup.okhttp.internal.bitarraytest.clearbits_fixedcapacity,0,0,0,0,0,1,0,0,0,7.0,1.0,6.0,0.002,7,1,0,0,0,2,2,2,2,2,0
6051,square-okhttp,com.squareup.okhttp.internal.bitarraytest.setexpandsdata_variablecapacity,0,0,0,0,0,1,0,0,0,4.0,1.0,3.0,0.001,4,1,0,0,0,2,2,2,2,2,0
6052,square-okhttp,com.squareup.okhttp.internal.bitarraytest.togglebit_variablecapacity,0,1,0,0,0,1,0,0,0,7.0,2.0,6.0,0.001,7,1,0,0,0,2,2,2,2,2,0
6053,square-okhttp,com.squareup.okhttp.internal.bitarraytest.shiftleftexpandsdata_variablecapacity,0,0,0,0,0,1,0,0,0,5.0,1.0,4.0,0.016,5,1,0,0,0,2,2,2,2,2,0
6054,square-okhttp,com.squareup.okhttp.internal.bitarraytest.shiftleftfromzero_variablecapacity,0,0,0,0,0,1,0,0,0,5.0,1.0,4.0,0.001,5,1,0,0,0,2,2,2,2,2,0
