id,projectName,testCase,isFlaky,assertion-roulette,conditional-test-logic,eager-test,fire-and-forget,indirect-testing,mystery-guest,resource-optimism,test-run-war,testLength,numAsserts,numCoveredLines,ExecutionTime,projectSourceLinesCovered,projectSourceClassesCovered,hIndexModificationsPerCoveredLine_window5,hIndexModificationsPerCoveredLine_window10,hIndexModificationsPerCoveredLine_window25,hIndexModificationsPerCoveredLine_window50,hIndexModificationsPerCoveredLine_window75,hIndexModificationsPerCoveredLine_window100,hIndexModificationsPerCoveredLine_window500,hIndexModificationsPerCoveredLine_window10000,num_third_party_libs
10278,orbit-orbit,com.ea.orbit.concurrent.test.tasktest.testallof,0,1,0,0,1,1,0,0,0,15.0,3.0,11.0,0.001,14,3,1,1,1,2,2,2,2,2,0
10279,orbit-orbit,com.ea.orbit.concurrent.test.tasktest.testallofwitherror,0,1,0,0,1,1,0,0,0,18.0,4.0,12.0,0.0,16,3,1,1,1,2,2,2,2,2,0
10280,orbit-orbit,com.ea.orbit.concurrent.test.tasktest.testallofvariations,0,1,0,0,1,1,0,0,0,32.0,9.0,29.0,0.011,34,3,1,1,1,2,2,2,2,2,0
10281,orbit-orbit,com.ea.orbit.concurrent.test.tasktest.testanyofvariations,0,1,0,0,1,1,0,0,0,30.0,9.0,27.0,0.016,30,3,1,1,1,1,1,1,1,1,0
10282,orbit-orbit,com.ea.orbit.concurrent.test.tasktest.testthenapply,0,1,0,0,0,0,0,0,0,9.0,3.0,2.0,0.003,4,3,1,1,1,1,1,1,1,1,0
10283,orbit-orbit,com.ea.orbit.concurrent.test.tasktest.testthenapplywithvoid,0,1,0,0,0,0,0,0,0,9.0,3.0,2.0,0.001,4,3,1,1,1,1,1,1,1,1,0
10284,orbit-orbit,com.ea.orbit.concurrent.test.tasktest.testthenreturn,0,1,0,0,0,0,0,0,0,9.0,3.0,2.0,0.001,4,3,1,1,1,1,1,1,1,1,0
10285,orbit-orbit,com.ea.orbit.concurrent.test.tasktest.testthencompose,0,1,0,1,0,0,0,0,0,11.0,4.0,2.0,0.002,4,3,1,1,1,1,1,1,1,1,0
10286,orbit-orbit,com.ea.orbit.concurrent.test.tasktest.testthencomposenoparams,0,1,0,1,0,0,0,0,0,11.0,4.0,2.0,0.003,4,3,1,1,1,1,1,1,1,1,0
10287,orbit-orbit,com.ea.orbit.concurrent.test.tasktest.testthenreturnwithexception,0,1,0,0,1,1,0,0,0,9.0,3.0,7.0,0.284,12,5,1,1,1,1,1,1,1,1,0
10288,orbit-orbit,com.ea.orbit.concurrent.test.tasktest.testgetandjoinwithwrappedforkjointask,0,1,0,0,1,0,0,0,0,11.0,5.0,1.0,0.001,5,3,0,0,0,1,1,1,1,1,0
10289,orbit-orbit,com.ea.orbit.concurrent.test.tasktest.testgetandjoinwithwrappedforkjointaskandtimeout,0,1,0,0,1,0,0,0,0,12.0,5.0,1.0,0.032,7,3,1,1,1,1,1,1,1,1,0
10290,orbit-orbit,com.ea.orbit.util.test.classpathtest.test,0,1,0,1,0,0,0,0,0,10.0,3.0,0.0,0.617,8,4,0,0,0,1,1,1,1,1,0
10291,orbit-orbit,com.ea.orbit.container.test.moduletest.testmodule,0,1,0,0,0,0,0,0,0,8.0,4.0,5.0,0.003,8,3,0,0,0,1,1,1,1,1,0
10292,orbit-orbit,com.ea.orbit.container.test.moduletest.testmodulewithcontainer,0,1,0,0,0,0,0,0,0,12.0,3.0,0.0,0.55,22,11,0,0,0,1,1,1,1,1,0
10293,orbit-orbit,com.ea.orbit.container.test.moduletest.testmodulediscovery,0,1,0,0,0,1,0,0,0,11.0,3.0,7.0,0.026,25,10,0,0,0,1,1,1,1,1,0
10294,orbit-orbit,com.ea.orbit.injection.dependencyregistrytest.test,0,1,0,1,0,0,0,0,0,9.0,4.0,6.0,0.047,10,2,0,0,0,1,1,1,1,1,0
10295,orbit-orbit,com.ea.orbit.actors.samples.helloworld.hellotest.test,0,0,0,0,1,1,0,0,0,13.0,0.0,6.0,11.143,7,2,0,0,0,1,1,1,1,1,1
10297,orbit-orbit,com.ea.orbit.actors.test.lifecycletest.activationtest,0,0,0,0,1,1,0,0,0,9.0,1.0,6.0,3.023,20,9,0,0,1,1,1,1,1,1,0
10298,orbit-orbit,com.ea.orbit.actors.test.lifecycletest.deactivationtest,1,0,0,0,1,1,0,0,0,20.0,1.0,19.0,0.365,35,12,0,0,1,1,1,1,1,1,0
10299,orbit-orbit,com.ea.orbit.actors.test.deactivationtest.cleanuptest,1,1,0,0,1,1,0,0,0,24.0,3.0,14.0,3.451,31,10,0,0,1,1,1,1,1,1,0
10300,orbit-orbit,com.ea.orbit.actors.test.deactivationtest.statelessworkerdeactivationtest,1,1,0,0,1,1,0,0,0,61.0,6.0,24.0,0.518,54,10,0,0,1,1,1,1,1,1,0
10301,orbit-orbit,com.ea.orbit.actors.test.messagingtest.blockingreceptiontest,0,1,0,0,1,1,0,0,1,19.0,3.0,25.0,0.068,33,9,0,0,1,1,1,1,1,1,0
10302,orbit-orbit,com.ea.orbit.actors.test.messagingtest.blockingreceptiontestwithabunch,0,1,0,0,0,0,0,0,1,29.0,5.0,3.0,3.462,16,9,0,0,1,1,1,1,1,1,0
10303,orbit-orbit,com.ea.orbit.actors.test.statelessactortest.statelesstest,1,1,0,0,1,0,0,0,0,57.0,3.0,3.0,3.686,18,9,0,0,1,1,1,1,1,1,0
10304,orbit-orbit,com.ea.orbit.actors.test.statelessactortest.heaviertest,0,1,0,0,1,0,0,0,0,37.0,2.0,11.0,0.147,21,9,0,0,1,1,1,1,1,1,0
