id,projectName,test_name,isFlaky,tokenList,java_keywords,javaKeysCounter,abstract_keyword,assert_keyword,boolean_keyword,break_keyword,byte_keyword,case_keyword,catch_keyword,char_keyword,class_keyword,continue_keyword,default_keyword,do_keyword,double_keyword,else_keyword,enum_keyword,exports_keyword,extends_keyword,final_keyword,finally_keyword,float_keyword,for_keyword,if_keyword,implements_keyword,import_keyword,instanceof_keyword,int_keyword,interface_keyword,long_keyword,modules_keyword,native_keyword,new_keyword,package_keyword,private_keyword,protected_keyword,public_keyword,requires_keyword,return_keyword,short_keyword,static_keyword,strictfp_keyword,super_keyword,switch_keyword,synchronized_keyword,this_keyword,throw_keyword,throws_keyword,transient_keyword,try_keyword,void_keyword,volatile_keyword,while_keyword,true_keyword,null_keyword,false_keyword,const_keyword,goto_keyword,assertion-roulette,conditional-test-logic,eager-test,fire-and-forget,indirect-testing,mystery-guest,resource-optimism,test-run-war,testLength,numAsserts,numCoveredLines,ExecutionTime,projectSourceLinesCovered,projectSourceClassesCovered,hIndexModificationsPerCoveredLine_window5,hIndexModificationsPerCoveredLine_window10,hIndexModificationsPerCoveredLine_window25,hIndexModificationsPerCoveredLine_window50,hIndexModificationsPerCoveredLine_window75,hIndexModificationsPerCoveredLine_window100,hIndexModificationsPerCoveredLine_window500,hIndexModificationsPerCoveredLine_window10000,num_third_party_libs
6045,square-okhttp,com.squareup.okhttp.internal.bitarraytest.hpackusecase,0,"['hpackusecase', 'assertfalse', 'case', 'to', 'capacity', 'fixed', 'asserttrue', 'fixedcapacity', 'false', 'variable', 'get', 'fail', 'use', 'array', 'bit', 'illegalargumentexception', 'exception', 'set', 'tovariablecapacity', 'illegal', 'argument', 'hpack', 'expected', 'test', 'bitarray', 'assert', 'true']","['new', 'for', 'int', 'try', 'catch', 'public', 'void']",7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,21,9,12,0.001,15,1,0,0,0,2,2,2,2,2,0
6046,square-okhttp,com.squareup.okhttp.internal.bitarraytest.setexpandsdata_fixedcapacity,0,"['biginteger', 'setbit', 'capacity', 'fixed', 'equals', 'zero', 'fixedcapacity', 'data', 'array', 'big', 'bit', 'integer', 'set', 'long', 'setexpandsdata', 'longvalue', 'expands', 'test', 'bitarray', 'value', 'assertequals', 'assert']","['new', 'public', 'void']",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,3,0.006,4,1,0,0,0,2,2,2,2,2,0
6047,square-okhttp,com.squareup.okhttp.internal.bitarraytest.togglebit_fixedcapacity,0,"['toggle', 'data', 'array', 'capacity', 'fixed', 'equals', '0l', 'set', 'test', 'togglebit', 'bitarray', '2l', 'assertequals', 'fixedcapacity', 'assert', 'bit']","['new', 'public', 'void']",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7,2,6,0.001,7,1,0,0,0,2,2,2,2,2,0
6048,square-okhttp,com.squareup.okhttp.internal.bitarraytest.shiftleft_fixedcapacity,0,"['data', 'array', 'capacity', 'fixed', 'shift', 'shiftleft', 'set', 'equals', 'test', 'bitarray', '2l', 'left', 'assertequals', 'fixedcapacity', 'assert', 'bit']","['new', 'public', 'void']",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,4,0.011,5,1,0,0,0,2,2,2,2,2,0
6049,square-okhttp,com.squareup.okhttp.internal.bitarraytest.multipleshifts_fixedcapacity,0,"['biginteger', 'shifts', 'setbit', 'capacity', 'fixed', 'shift', 'equals', 'left', 'zero', 'fixedcapacity', 'data', 'multiple', 'array', 'big', 'bit', 'integer', 'shiftleft', 'set', 'multipleshifts', 'long', 'longvalue', 'test', 'bitarray', 'value', 'assertequals', 'assert']","['new', 'public', 'void']",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,5,0.0,6,1,0,0,0,2,2,2,2,2,0
6050,square-okhttp,com.squareup.okhttp.internal.bitarraytest.clearbits_fixedcapacity,0,"['data', 'array', 'capacity', 'fixed', 'clear', 'equals', 'set', '0l', 'test', 'clearbits', 'bitarray', 'bits', 'assertequals', 'fixedcapacity', 'assert', 'bit']","['new', 'public', 'void']",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,1,6,0.002,7,1,0,0,0,2,2,2,2,2,0
6051,square-okhttp,com.squareup.okhttp.internal.bitarraytest.setexpandsdata_variablecapacity,0,"['to', 'capacity', 'equals', 'data', 'variable', 'array', 'list', 'bit', 'integer', 'as', 'aslist', 'set', 'setexpandsdata', 'tointegerlist', 'expands', 'test', 'bitarray', 'variablecapacity', 'assertequals', 'assert']","['new', 'public', 'void']",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,3,0.001,4,1,0,0,0,2,2,2,2,2,0
6052,square-okhttp,com.squareup.okhttp.internal.bitarraytest.togglebit_variablecapacity,0,"['to', 'capacity', 'equals', 'is', 'empty', 'asserttrue', 'variable', 'array', 'list', 'bit', 'isempty', 'toggle', 'integer', 'as', 'aslist', 'togglebit', 'set', 'tointegerlist', 'test', 'bitarray', 'variablecapacity', 'assertequals', 'assert', 'true']","['new', 'public', 'void']",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7,2,6,0.001,7,1,0,0,0,2,2,2,2,2,0
6053,square-okhttp,com.squareup.okhttp.internal.bitarraytest.shiftleftexpandsdata_variablecapacity,0,"['to', 'capacity', 'shift', 'equals', 'left', 'data', 'variable', 'array', 'list', 'bit', 'integer', 'as', 'aslist', 'shiftleft', 'set', 'shiftleftexpandsdata', 'tointegerlist', 'expands', 'test', 'bitarray', 'variablecapacity', 'assertequals', 'assert']","['new', 'public', 'void']",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,4,0.016,5,1,0,0,0,2,2,2,2,2,0
6054,square-okhttp,com.squareup.okhttp.internal.bitarraytest.shiftleftfromzero_variablecapacity,0,"['to', 'capacity', 'shift', 'equals', 'from', 'left', 'zero', 'variable', 'array', 'list', 'bit', 'integer', 'as', 'aslist', 'shiftleft', 'set', 'tointegerlist', 'test', 'bitarray', 'variablecapacity', 'assertequals', 'assert', 'shiftleftfromzero']","['new', 'public', 'void']",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,4,0.001,5,1,0,0,0,2,2,2,2,2,0
