Type,Project,ModelBalance,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
within,flakeflaggertotal,naiveBayesBorderlineSMOTE,8453.0,662.0,487.0,183.0,0.22291416093054614,0.27313432835820894,0.8825741387125546,0.08635799645312295,0.23663810198445973,0.18090901051880462,0.7002138227057559
within,flakeflaggertotal,naiveBayesSMOTE,8741.0,374.0,558.0,112.0,0.2311717833919625,0.16716417910447762,0.9047506846224707,0.04966954302102851,0.19180239005684047,0.14612069494729102,0.6921935562381056
within,flakeflaggertotal,naiveBayesrandomover,8757.0,358.0,561.0,109.0,0.23753158403816838,0.16268656716417912,0.9060787791055939,0.04772836937653922,0.19005521374274248,0.14676350784909536,0.6918529841261081
within,flakeflaggertotal,naiveBayes,9115.0,0.0,670.0,0.0,0.0,0.0,0.9315278308695281,0.0,0.0,0.0,0.6914420743213276
within,flakeflaggertotal,naiveBayesADASYN,5712.0,3403.0,311.0,359.0,0.14956044105073274,0.5358208955223882,0.6204733973776504,0.3844282070724478,0.2024712213819186,0.12324759970216281,0.698206841536152
within,flakeflaggertotal,decisionTreeBorderlineSMOTE,8806.0,309.0,277.0,393.0,0.5614486321991593,0.5865671641791046,0.9401111480142292,0.07174300389989369,0.573116169550834,0.5414531375217636,0.8211276157559307
within,flakeflaggertotal,decisionTreeSMOTE,8740.0,375.0,215.0,455.0,0.5492380568334088,0.6791044776119401,0.9397014189597079,0.0848249852213456,0.6070173821169607,0.5787423572593152,0.8284361877926217
within,flakeflaggertotal,decisionTreerandomover,8796.0,319.0,224.0,446.0,0.5847226194639449,0.6656716417910448,0.944504847189758,0.07818315504949544,0.6219146667124336,0.5939628520440225,0.8177376161540211
within,flakeflaggertotal,decisionTree,8845.0,270.0,288.0,382.0,0.5894745332581822,0.5701492537313432,0.9429721492863425,0.06663502050211914,0.5778722224101414,0.5484426788955221,0.8117581568657378
within,flakeflaggertotal,decisionTreeADASYN,8746.0,369.0,246.0,424.0,0.5366443803375216,0.6328358208955224,0.9371480016961508,0.08104394743603402,0.579604651751587,0.5487995771423159,0.810362798707945
