,id,nameProject,testCase,isFlaky,prediction
4,7709.0,Achilles,info.archinnov.achilles.schemabuilder.createtest.should_create_simple_table_with_list,False,False
25,7730.0,Achilles,info.archinnov.achilles.schemabuilder.createtest.should_fail_if_same_partition_and_static_column,False,False
27,7732.0,Achilles,info.archinnov.achilles.schemabuilder.createtest.should_fail_if_same_simple_and_static_column,False,False
34,7739.0,Achilles,info.archinnov.achilles.schemabuilder.createtest.should_fail_if_static_column_is_a_reserved_keyword,False,False
44,7749.0,Achilles,info.archinnov.achilles.schemabuilder.altertest.should_fail_if_added_column_is_a_reserved_keyword,False,False
46,7751.0,Achilles,info.archinnov.achilles.schemabuilder.altertest.should_fail_if_renamed_column_is_a_reserved_keyword,False,False
56,7761.0,Achilles,info.archinnov.achilles.type.optionstest.should_duplicate_with_new_consistency_level,False,False
64,7769.0,Achilles,info.archinnov.achilles.type.typedmaptest.should_return_default,False,False
80,7788.0,Achilles,info.archinnov.achilles.query.slice.rootslicequerybuildertest.should_exception_when_partition_components_do_not_match,False,False
89,7797.0,Achilles,info.archinnov.achilles.query.slice.rootslicequerybuildertest.should_exception_when_null_consistency_level,False,False
90,7798.0,Achilles,info.archinnov.achilles.query.slice.rootslicequerybuildertest.should_set_limit,False,False
100,7808.0,Achilles,info.archinnov.achilles.query.slice.rootslicequerybuildertest.should_get_last_n,False,False
101,7809.0,Achilles,info.archinnov.achilles.query.slice.rootslicequerybuildertest.should_get_last_n_with_clustering_components,False,False
104,7812.0,Achilles,info.archinnov.achilles.query.slice.rootslicequerybuildertest.should_get_iterator_with_batch_size,False,False
105,7813.0,Achilles,info.archinnov.achilles.query.slice.rootslicequerybuildertest.should_get_iterator_with_batch_size_and_components,False,False
112,7820.0,Achilles,info.archinnov.achilles.query.slice.rootslicequerybuildertest.should_remove_last,False,False
126,7837.0,Achilles,info.archinnov.achilles.query.slice.slicequeryvalidatortest.should_exception_when_components_are_not_equal_case2,False,False
128,7840.0,Achilles,info.archinnov.achilles.query.slice.cqlslicequerytest.should_get_fixed_components_when_start_same_as_end,False,False
131,7843.0,Achilles,info.archinnov.achilles.query.slice.cqlslicequerytest.should_get_last_components_when_start_same_as_end,False,False
141,7853.0,Achilles,info.archinnov.achilles.query.slice.cqlslicequerytest.should_get_varying_component_name,False,False
143,7855.0,Achilles,info.archinnov.achilles.query.slice.cqlslicequerytest.should_get_achilles_ordering,False,False
145,7857.0,Achilles,info.archinnov.achilles.query.slice.cqlslicequerytest.should_exception_when_limit_set_for_remove,False,False
162,7878.0,Achilles,info.archinnov.achilles.persistence.persistencemanagertest.should_update,False,False
188,7904.0,Achilles,info.archinnov.achilles.persistence.persistencemanagertest.should_get_indexed_query,False,False
191,7908.0,Achilles,info.archinnov.achilles.persistence.persistencemanagerfactorytest.should_bootstrap_persistence_manager_factory,False,False
192,7909.0,Achilles,info.archinnov.achilles.persistence.persistencemanagerfactorytest.should_create_persistence_manager,False,False
194,7911.0,Achilles,info.archinnov.achilles.persistence.persistencemanagerfactorytest.should_serialize_to_json,False,False
215,7934.0,Achilles,info.archinnov.achilles.configuration.argumentextractortest.should_init_default_object_factory_mapper,False,False
218,7937.0,Achilles,info.archinnov.achilles.configuration.argumentextractortest.should_init_force_update_map,False,False
262,7984.0,Achilles,info.archinnov.achilles.internal.table.tableupdatertest.should_update_table_with_new_indexed_simple_field,False,False
271,7994.0,Achilles,info.archinnov.achilles.internal.table.tablevalidatortest.should_validate_simple_indexed_field_for_entity,False,False
287,8010.0,Achilles,info.archinnov.achilles.internal.table.tablevalidatortest.should_exception_when_no_counter_value_column,False,False
288,8011.0,Achilles,info.archinnov.achilles.internal.table.tablevalidatortest.should_exception_when_counter_value_column_bad_type,False,False
