,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,104.0,1.0,0.0,1.0,0.5,1.0,0.9905660377358491,0.018867924528301886,0.6666666666666666,0.7037315505489967,1.0
1,105.0,0.0,1.0,0.0,0.0,0.0,0.9905660377358491,0.0,0.0,0.0,0.8095238095238095
2,104.0,1.0,0.0,1.0,0.5,1.0,0.9905660377358491,0.018867924528301886,0.6666666666666666,0.7037315505489967,1.0
3,103.0,2.0,0.0,0.0,0.0,0.0,0.9809523809523809,0.01904761904761905,0.0,0.0,0.0
4,104.0,1.0,0.0,0.0,0.0,0.0,0.9904761904761905,0.009523809523809525,0.0,0.0,0.0
5,104.0,1.0,0.0,0.0,0.0,0.0,0.9904761904761905,0.009523809523809525,0.0,0.0,0.0
6,104.0,1.0,0.0,0.0,0.0,0.0,0.9904761904761905,0.009523809523809525,0.0,0.0,0.0
7,102.0,3.0,0.0,0.0,0.0,0.0,0.9714285714285714,0.02857142857142857,0.0,0.0,0.0
8,103.0,2.0,0.0,0.0,0.0,0.0,0.9809523809523809,0.01904761904761905,0.0,0.0,0.0
9,100.0,4.0,0.0,1.0,0.2,1.0,0.9619047619047619,0.047619047619047616,0.33333333333333337,0.4385290096535146,0.9807692307692307
10,1033.0,16.0,1.0,3.0,0.12,0.3,0.9838364779874214,0.01805929919137466,0.16666666666666666,0.18459921107515082,0.379029304029304
