,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,102.0,3.0,0.0,1.0,0.25,1.0,0.9716981132075472,0.03773584905660377,0.4,0.49280538030458115,1.0
1,105.0,0.0,1.0,0.0,0.0,0.0,0.9905660377358491,0.0,0.0,0.0,1.0
2,101.0,4.0,0.0,1.0,0.2,1.0,0.9622641509433962,0.04716981132075472,0.33333333333333337,0.43861253103502684,1.0
3,101.0,4.0,0.0,0.0,0.0,0.0,0.9619047619047619,0.0380952380952381,0.0,0.0,0.0
4,102.0,3.0,0.0,0.0,0.0,0.0,0.9714285714285714,0.02857142857142857,0.0,0.0,0.0
5,104.0,1.0,0.0,0.0,0.0,0.0,0.9904761904761905,0.009523809523809525,0.0,0.0,0.0
6,100.0,5.0,0.0,0.0,0.0,0.0,0.9523809523809523,0.047619047619047616,0.0,0.0,0.0
7,101.0,4.0,0.0,0.0,0.0,0.0,0.9619047619047619,0.0380952380952381,0.0,0.0,0.0
8,102.0,3.0,0.0,0.0,0.0,0.0,0.9714285714285714,0.02857142857142857,0.0,0.0,0.0
9,101.0,3.0,1.0,0.0,0.0,0.0,0.9619047619047619,0.02857142857142857,0.0,-0.01681681984990781,0.9711538461538463
10,1019.0,30.0,2.0,2.0,0.045,0.2,0.9695956873315363,0.030395327942497757,0.07333333333333333,0.09146010914897001,0.39711538461538465
