,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,105.0,0.0,0.0,1.0,1.0,1.0,1.0,0.009433962264150943,1.0,1.0,1.0
1,105.0,0.0,0.0,1.0,1.0,1.0,1.0,0.009433962264150943,1.0,1.0,1.0
2,105.0,0.0,0.0,1.0,1.0,1.0,1.0,0.009433962264150943,1.0,1.0,1.0
3,105.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,105.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,105.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6,105.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7,105.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8,105.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9,104.0,0.0,1.0,0.0,0.0,0.0,0.9904761904761905,0.0,0.0,0.0,0.625
10,1049.0,0.0,1.0,3.0,0.3,0.3,0.9990476190476191,0.0028301886792452833,0.3,0.3,0.3625
