,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,14.0,2.0,0.0,1.0,0.3333333333333333,1.0,0.8823529411764706,0.17647058823529413,0.5,0.5400617248673216,0.875
1,16.0,0.0,1.0,0.0,0.0,0.0,0.9411764705882353,0.0,0.0,0.0,1.0
2,14.0,2.0,1.0,0.0,0.0,0.0,0.8235294117647058,0.11764705882352941,0.0,-0.09128709291752768,0.75
3,12.0,3.0,2.0,0.0,0.0,0.0,0.7058823529411765,0.17647058823529413,0.0,-0.1690308509457033,0.3666666666666667
4,15.0,0.0,2.0,0.0,0.0,0.0,0.8823529411764706,0.0,0.0,0.0,0.8666666666666667
5,13.0,2.0,1.0,1.0,0.3333333333333333,0.5,0.8235294117647058,0.17647058823529413,0.4,0.3098898934004561,0.5333333333333333
6,14.0,1.0,1.0,1.0,0.5,0.5,0.8823529411764706,0.11764705882352941,0.5,0.43333333333333335,0.9
7,14.0,1.0,1.0,1.0,0.5,0.5,0.8823529411764706,0.11764705882352941,0.5,0.43333333333333335,0.6333333333333333
8,15.0,0.0,1.0,1.0,1.0,0.5,0.9411764705882353,0.058823529411764705,0.6666666666666666,0.6846531968814576,0.8666666666666667
9,12.0,3.0,0.0,1.0,0.25,1.0,0.8125,0.25,0.4,0.4472135954999579,0.8666666666666667
10,139.0,14.0,10.0,6.0,0.29166666666666663,0.4,0.8577205882352942,0.11911764705882352,0.29666666666666663,0.2588167133452629,0.7658333333333334
