,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,15.0,1.0,1.0,0.0,0.0,0.0,0.8823529411764706,0.058823529411764705,0.0,-0.0625,0.8125
1,16.0,0.0,1.0,0.0,0.0,0.0,0.9411764705882353,0.0,0.0,0.0,1.0
2,14.0,2.0,1.0,0.0,0.0,0.0,0.8235294117647058,0.11764705882352941,0.0,-0.09128709291752768,0.8125
3,14.0,1.0,2.0,0.0,0.0,0.0,0.8235294117647058,0.058823529411764705,0.0,-0.09128709291752768,0.4
4,15.0,0.0,2.0,0.0,0.0,0.0,0.8823529411764706,0.0,0.0,0.0,0.9333333333333333
5,13.0,2.0,1.0,1.0,0.3333333333333333,0.5,0.8235294117647058,0.17647058823529413,0.4,0.3098898934004561,0.8
6,14.0,1.0,1.0,1.0,0.5,0.5,0.8823529411764706,0.11764705882352941,0.5,0.43333333333333335,0.9666666666666667
7,14.0,1.0,1.0,1.0,0.5,0.5,0.8823529411764706,0.11764705882352941,0.5,0.43333333333333335,0.9
8,15.0,0.0,1.0,1.0,1.0,0.5,0.9411764705882353,0.058823529411764705,0.6666666666666666,0.6846531968814576,0.8666666666666667
9,12.0,3.0,1.0,0.0,0.0,0.0,0.75,0.1875,0.0,-0.12403473458920847,0.8
10,142.0,11.0,12.0,4.0,0.2333333333333333,0.2,0.8632352941176471,0.08933823529411763,0.20666666666666664,0.14921008365243166,0.8291666666666668
