,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,3.0,3.0,4.0,9.0,0.75,0.6923076923076923,0.631578947368421,0.631578947368421,0.7199999999999999,0.18531232916527532,0.782051282051282
1,2.0,4.0,0.0,13.0,0.7647058823529411,1.0,0.7894736842105263,0.8947368421052632,0.8666666666666666,0.5048781642974013,1.0
2,5.0,2.0,2.0,10.0,0.8333333333333334,0.8333333333333334,0.7894736842105263,0.631578947368421,0.8333333333333334,0.5476190476190477,0.8928571428571429
3,6.0,1.0,4.0,8.0,0.8888888888888888,0.6666666666666666,0.7368421052631579,0.47368421052631576,0.761904761904762,0.5060480768510598,0.7380952380952381
4,5.0,2.0,2.0,10.0,0.8333333333333334,0.8333333333333334,0.7894736842105263,0.631578947368421,0.8333333333333334,0.5476190476190477,0.9166666666666666
5,6.0,1.0,3.0,9.0,0.9,0.75,0.7894736842105263,0.5263157894736842,0.8181818181818182,0.5865557254410011,0.7976190476190476
6,6.0,0.0,3.0,9.0,1.0,0.75,0.8333333333333334,0.5,0.8571428571428571,0.7071067811865475,0.9166666666666666
7,4.0,2.0,2.0,10.0,0.8333333333333334,0.8333333333333334,0.7777777777777778,0.6666666666666666,0.8333333333333334,0.5,0.8472222222222222
8,3.0,3.0,2.0,10.0,0.7692307692307693,0.8333333333333334,0.7222222222222222,0.7222222222222222,0.8,0.35082320772281167,0.8333333333333333
9,6.0,0.0,1.0,11.0,1.0,0.9166666666666666,0.9444444444444444,0.6111111111111112,0.9565217391304348,0.8864052604279183,0.9861111111111112
10,46.0,18.0,23.0,99.0,0.85728255404726,0.8108974358974359,0.7804093567251462,0.6289473684210526,0.828041784302654,0.532236764033011,0.871062271062271
