,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,5.0,1.0,3.0,10.0,0.9090909090909091,0.7692307692307693,0.7894736842105263,0.5789473684210527,0.8333333333333333,0.5672953457626894,0.8012820512820513
1,6.0,0.0,5.0,8.0,1.0,0.6153846153846154,0.7368421052631579,0.42105263157894735,0.761904761904762,0.5793654595023211,0.8076923076923077
2,7.0,0.0,1.0,11.0,1.0,0.9166666666666666,0.9473684210526315,0.5789473684210527,0.9565217391304348,0.8955910525085282,0.9583333333333333
3,7.0,0.0,0.0,12.0,1.0,1.0,1.0,0.631578947368421,1.0,1.0,1.0
4,6.0,1.0,2.0,10.0,0.9090909090909091,0.8333333333333334,0.8421052631578947,0.5789473684210527,0.8695652173913043,0.6746010525388914,0.8452380952380953
5,7.0,0.0,8.0,4.0,1.0,0.3333333333333333,0.5789473684210527,0.21052631578947367,0.5,0.3944053188733077,0.6666666666666666
6,6.0,0.0,3.0,9.0,1.0,0.75,0.8333333333333334,0.5,0.8571428571428571,0.7071067811865475,0.875
7,5.0,1.0,1.0,11.0,0.9166666666666666,0.9166666666666666,0.8888888888888888,0.6666666666666666,0.9166666666666666,0.75,0.8541666666666667
8,5.0,1.0,3.0,9.0,0.9,0.75,0.7777777777777778,0.5555555555555556,0.8181818181818182,0.5533985905294664,0.7777777777777779
9,6.0,0.0,2.0,10.0,1.0,0.8333333333333334,0.8888888888888888,0.5555555555555556,0.9090909090909091,0.7905694150420948,0.9027777777777779
10,60.0,4.0,28.0,94.0,0.9634848484848485,0.7717948717948717,0.8283625730994151,0.5277777777777777,0.8422407302842085,0.6912333015943847,0.8488934676434677
