,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,6.0,0.0,1.0,12.0,1.0,0.9230769230769231,0.9473684210526315,0.631578947368421,0.9600000000000001,0.8894991799933215,0.9615384615384616
1,2.0,4.0,2.0,11.0,0.7333333333333333,0.8461538461538461,0.6842105263157895,0.7894736842105263,0.7857142857142856,0.20464687117164013,0.6153846153846154
2,6.0,1.0,0.0,12.0,0.9230769230769231,1.0,0.9473684210526315,0.6842105263157895,0.9600000000000001,0.8894991799933215,0.9285714285714286
3,7.0,0.0,1.0,11.0,1.0,0.9166666666666666,0.9473684210526315,0.5789473684210527,0.9565217391304348,0.8955910525085282,0.9583333333333333
4,6.0,1.0,0.0,12.0,0.9230769230769231,1.0,0.9473684210526315,0.6842105263157895,0.9600000000000001,0.8894991799933215,0.9285714285714286
5,7.0,0.0,0.0,12.0,1.0,1.0,1.0,0.631578947368421,1.0,1.0,1.0
6,6.0,0.0,1.0,11.0,1.0,0.9166666666666666,0.9444444444444444,0.6111111111111112,0.9565217391304348,0.8864052604279183,0.9583333333333333
7,5.0,1.0,0.0,12.0,0.9230769230769231,1.0,0.9444444444444444,0.7222222222222222,0.9600000000000001,0.8770580193070291,0.9166666666666667
8,4.0,2.0,0.0,12.0,0.8571428571428571,1.0,0.8888888888888888,0.7777777777777778,0.923076923076923,0.7559289460184544,0.8333333333333334
9,5.0,1.0,0.0,12.0,0.9230769230769231,1.0,0.9444444444444444,0.7222222222222222,0.9600000000000001,0.8770580193070291,0.9166666666666667
10,54.0,10.0,5.0,117.0,0.9282783882783884,0.9602564102564102,0.9195906432748538,0.6833333333333333,0.942183468705208,0.8165185708720564,0.9017399267399269
