,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,5.0,1.0,1.0,12.0,0.9230769230769231,0.9230769230769231,0.8947368421052632,0.6842105263157895,0.9230769230769231,0.7564102564102564,0.9871794871794872
1,6.0,0.0,4.0,9.0,1.0,0.6923076923076923,0.7894736842105263,0.47368421052631576,0.8181818181818181,0.6445033866354896,0.8974358974358975
2,6.0,1.0,1.0,11.0,0.9166666666666666,0.9166666666666666,0.8947368421052632,0.631578947368421,0.9166666666666666,0.7738095238095238,0.9642857142857142
3,7.0,0.0,2.0,10.0,1.0,0.8333333333333334,0.8947368421052632,0.5263157894736842,0.9090909090909091,0.8050764858994133,1.0
4,7.0,0.0,1.0,11.0,1.0,0.9166666666666666,0.9473684210526315,0.5789473684210527,0.9565217391304348,0.8955910525085282,1.0
5,7.0,0.0,2.0,10.0,1.0,0.8333333333333334,0.8947368421052632,0.5263157894736842,0.9090909090909091,0.8050764858994133,1.0
6,6.0,0.0,5.0,7.0,1.0,0.5833333333333334,0.7222222222222222,0.3888888888888889,0.7368421052631579,0.5640760748177662,0.9583333333333334
7,6.0,0.0,2.0,10.0,1.0,0.8333333333333334,0.8888888888888888,0.5555555555555556,0.9090909090909091,0.7905694150420948,1.0
8,5.0,1.0,2.0,10.0,0.9090909090909091,0.8333333333333334,0.8333333333333334,0.6111111111111112,0.8695652173913043,0.6446583712203042,0.9444444444444444
9,6.0,0.0,0.0,12.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0
10,61.0,3.0,20.0,102.0,0.9748834498834498,0.8365384615384617,0.8760233918128655,0.5643274853801169,0.8948127196983032,0.767977105224279,0.9751678876678878
