,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,6.0,0.0,0.0,13.0,1.0,1.0,1.0,0.6842105263157895,1.0,1.0,1.0
1,2.0,4.0,0.0,13.0,0.7647058823529411,1.0,0.7894736842105263,0.8947368421052632,0.8666666666666666,0.5048781642974013,1.0
2,7.0,0.0,0.0,12.0,1.0,1.0,1.0,0.631578947368421,1.0,1.0,1.0
3,7.0,0.0,2.0,10.0,1.0,0.8333333333333334,0.8947368421052632,0.5263157894736842,0.9090909090909091,0.8050764858994133,1.0
4,6.0,1.0,0.0,12.0,0.9230769230769231,1.0,0.9473684210526315,0.6842105263157895,0.9600000000000001,0.8894991799933215,1.0
5,7.0,0.0,0.0,12.0,1.0,1.0,1.0,0.631578947368421,1.0,1.0,1.0
6,6.0,0.0,2.0,10.0,1.0,0.8333333333333334,0.8888888888888888,0.5555555555555556,0.9090909090909091,0.7905694150420948,1.0
7,5.0,1.0,1.0,11.0,0.9166666666666666,0.9166666666666666,0.8888888888888888,0.6666666666666666,0.9166666666666666,0.75,0.9861111111111112
8,4.0,2.0,0.0,12.0,0.8571428571428571,1.0,0.8888888888888888,0.7777777777777778,0.923076923076923,0.7559289460184544,1.0
9,6.0,0.0,0.0,12.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0
10,56.0,8.0,5.0,117.0,0.9461592329239388,0.9583333333333334,0.9298245614035088,0.6719298245614036,0.9484592074592074,0.8495952191250684,0.9986111111111111
