,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,23.0,2.0,0.0,5.0,0.7142857142857143,1.0,0.9333333333333333,0.23333333333333334,0.8333333333333333,0.8106434833777776,1.0
1,23.0,2.0,0.0,5.0,0.7142857142857143,1.0,0.9333333333333333,0.23333333333333334,0.8333333333333333,0.8106434833777776,0.968
2,21.0,3.0,2.0,4.0,0.5714285714285714,0.6666666666666666,0.8333333333333334,0.23333333333333334,0.6153846153846153,0.5122717640554154,0.8402777777777779
3,21.0,3.0,1.0,5.0,0.625,0.8333333333333334,0.8666666666666667,0.26666666666666666,0.7142857142857143,0.6407116072277477,0.9583333333333333
4,22.0,2.0,0.0,5.0,0.7142857142857143,1.0,0.9310344827586207,0.2413793103448276,0.8333333333333333,0.809173593712687,0.9916666666666667
5,23.0,1.0,0.0,5.0,0.8333333333333334,1.0,0.9655172413793104,0.20689655172413793,0.9090909090909091,0.8936504412303007,0.9666666666666667
6,20.0,4.0,2.0,3.0,0.42857142857142855,0.6,0.7931034482758621,0.2413793103448276,0.5,0.3825184261187248,0.9333333333333333
7,21.0,3.0,0.0,5.0,0.625,1.0,0.896551724137931,0.27586206896551724,0.7692307692307693,0.7395099728874519,0.8916666666666667
8,22.0,2.0,0.0,5.0,0.7142857142857143,1.0,0.9310344827586207,0.2413793103448276,0.8333333333333333,0.809173593712687,1.0
9,22.0,2.0,0.0,5.0,0.7142857142857143,1.0,0.9310344827586207,0.2413793103448276,0.8333333333333333,0.809173593712687,0.9416666666666667
10,218.0,24.0,5.0,47.0,0.6654761904761906,0.9099999999999999,0.9014942528735632,0.24149425287356321,0.7674658674658674,0.7217469959413257,0.9491611111111112
