,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,22.0,3.0,2.0,3.0,0.5,0.6,0.8333333333333334,0.2,0.5454545454545454,0.447213595499958,0.712
1,16.0,9.0,0.0,5.0,0.35714285714285715,1.0,0.7,0.4666666666666667,0.5263157894736842,0.47809144373375745,0.8800000000000001
2,17.0,7.0,4.0,2.0,0.2222222222222222,0.3333333333333333,0.6333333333333333,0.3,0.26666666666666666,0.036369648372665396,0.5833333333333334
3,18.0,6.0,0.0,6.0,0.5,1.0,0.8,0.4,0.6666666666666666,0.6123724356957946,0.9166666666666667
4,19.0,5.0,2.0,3.0,0.375,0.6,0.7586206896551724,0.27586206896551724,0.4615384615384615,0.33101874976866896,0.7250000000000001
5,20.0,4.0,2.0,3.0,0.42857142857142855,0.6,0.7931034482758621,0.2413793103448276,0.5,0.3825184261187248,0.5916666666666667
6,13.0,11.0,0.0,5.0,0.3125,1.0,0.6206896551724138,0.5517241379310345,0.47619047619047616,0.4114253678777396,0.825
7,15.0,9.0,0.0,5.0,0.35714285714285715,1.0,0.6896551724137931,0.4827586206896552,0.5263157894736842,0.472455591261534,0.8583333333333333
8,19.0,5.0,1.0,4.0,0.4444444444444444,0.8,0.7931034482758621,0.3103448275862069,0.5714285714285714,0.48309381038223786,0.875
9,21.0,3.0,2.0,3.0,0.5,0.6,0.8275862068965517,0.20689655172413793,0.5454545454545454,0.44293978391414907,0.7083333333333333
10,180.0,62.0,13.0,39.0,0.39970238095238103,0.7533333333333333,0.7449425287356322,0.3435632183908046,0.5086031512347301,0.409749885262523,0.7675333333333334
