,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,24.0,1.0,0.0,5.0,0.8333333333333334,1.0,0.9666666666666667,0.2,0.9090909090909091,0.894427190999916,1.0
1,23.0,2.0,0.0,5.0,0.7142857142857143,1.0,0.9333333333333333,0.23333333333333334,0.8333333333333333,0.8106434833777776,0.968
2,22.0,2.0,2.0,4.0,0.6666666666666666,0.6666666666666666,0.8666666666666667,0.2,0.6666666666666666,0.5833333333333334,0.8402777777777777
3,22.0,2.0,1.0,5.0,0.7142857142857143,0.8333333333333334,0.9,0.23333333333333334,0.7692307692307692,0.7092993656151906,0.9652777777777778
4,22.0,2.0,0.0,5.0,0.7142857142857143,1.0,0.9310344827586207,0.2413793103448276,0.8333333333333333,0.809173593712687,0.9916666666666667
5,23.0,1.0,0.0,5.0,0.8333333333333334,1.0,0.9655172413793104,0.20689655172413793,0.9090909090909091,0.8936504412303007,0.9583333333333334
6,20.0,4.0,0.0,5.0,0.5555555555555556,1.0,0.8620689655172413,0.3103448275862069,0.7142857142857143,0.6804138174397716,0.9916666666666667
7,21.0,3.0,0.0,5.0,0.625,1.0,0.896551724137931,0.27586206896551724,0.7692307692307693,0.7395099728874519,0.8916666666666667
8,24.0,0.0,0.0,5.0,1.0,1.0,1.0,0.1724137931034483,1.0,1.0,1.0
9,22.0,2.0,0.0,5.0,0.7142857142857143,1.0,0.9310344827586207,0.2413793103448276,0.8333333333333333,0.809173593712687,0.9416666666666668
10,223.0,19.0,3.0,49.0,0.7371031746031746,0.95,0.925287356321839,0.2314942528735632,0.8237595737595738,0.7929624792309117,0.9548555555555556
