,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,22.0,3.0,0.0,5.0,0.625,1.0,0.9,0.26666666666666666,0.7692307692307693,0.7416198487095663,0.96
1,17.0,8.0,1.0,4.0,0.3333333333333333,0.8,0.7,0.4,0.47058823529411764,0.3651483716701107,0.74
2,22.0,2.0,2.0,4.0,0.6666666666666666,0.6666666666666666,0.8666666666666667,0.2,0.6666666666666666,0.5833333333333334,0.9444444444444445
3,21.0,3.0,0.0,6.0,0.6666666666666666,1.0,0.9,0.3,0.8,0.7637626158259733,0.9791666666666666
4,19.0,5.0,0.0,5.0,0.5,1.0,0.8275862068965517,0.3448275862068966,0.6666666666666666,0.6291528696058959,1.0
5,20.0,4.0,0.0,5.0,0.5555555555555556,1.0,0.8620689655172413,0.3103448275862069,0.7142857142857143,0.6804138174397716,0.9583333333333333
6,14.0,10.0,0.0,5.0,0.3333333333333333,1.0,0.6551724137931034,0.5172413793103449,0.5,0.44095855184409843,0.7916666666666666
7,21.0,3.0,1.0,4.0,0.5714285714285714,0.8,0.8620689655172413,0.2413793103448276,0.6666666666666666,0.5958460099157059,0.9249999999999999
8,18.0,6.0,0.0,5.0,0.45454545454545453,1.0,0.7931034482758621,0.3793103448275862,0.625,0.5838742081211422,0.9833333333333334
9,21.0,3.0,0.0,5.0,0.625,1.0,0.896551724137931,0.27586206896551724,0.7692307692307693,0.7395099728874519,0.9583333333333333
10,195.0,47.0,4.0,48.0,0.533152958152958,0.9266666666666665,0.8263218390804598,0.32356321839080465,0.664833548804137,0.6123619599353048,0.9240277777777779
