,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,25.0,0.0,0.0,5.0,1.0,1.0,1.0,0.16666666666666666,1.0,1.0,1.0
1,23.0,2.0,0.0,5.0,0.7142857142857143,1.0,0.9333333333333333,0.23333333333333334,0.8333333333333333,0.8106434833777776,0.984
2,24.0,0.0,0.0,6.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0
3,24.0,0.0,0.0,6.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0
4,24.0,0.0,0.0,5.0,1.0,1.0,1.0,0.1724137931034483,1.0,1.0,1.0
5,24.0,0.0,0.0,5.0,1.0,1.0,1.0,0.1724137931034483,1.0,1.0,1.0
6,24.0,0.0,0.0,5.0,1.0,1.0,1.0,0.1724137931034483,1.0,1.0,1.0
7,23.0,1.0,1.0,4.0,0.8,0.8,0.9310344827586207,0.1724137931034483,0.8000000000000002,0.7583333333333333,0.8916666666666666
8,23.0,1.0,0.0,5.0,0.8333333333333334,1.0,0.9655172413793104,0.20689655172413793,0.9090909090909091,0.8936504412303007,1.0
9,24.0,0.0,0.0,5.0,1.0,1.0,1.0,0.1724137931034483,1.0,1.0,1.0
10,238.0,4.0,1.0,51.0,0.9347619047619048,0.9800000000000001,0.9829885057471264,0.18689655172413794,0.9542424242424241,0.9462627257941412,0.9875666666666667
