,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,25.0,0.0,4.0,1.0,1.0,0.2,0.8666666666666667,0.03333333333333333,0.33333333333333337,0.41522739926869984,0.616
1,22.0,3.0,3.0,2.0,0.4,0.4,0.8,0.16666666666666666,0.4000000000000001,0.28,0.8640000000000001
2,22.0,2.0,4.0,2.0,0.5,0.3333333333333333,0.8,0.13333333333333333,0.4,0.294174202707276,0.5902777777777778
3,24.0,0.0,6.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.875
4,23.0,1.0,4.0,1.0,0.5,0.2,0.8275862068965517,0.06896551724137931,0.28571428571428575,0.2360293976249778,0.5916666666666667
5,22.0,2.0,5.0,0.0,0.0,0.0,0.7586206896551724,0.06896551724137931,0.0,-0.12422599874998831,0.5166666666666666
6,20.0,4.0,3.0,2.0,0.3333333333333333,0.4,0.7586206896551724,0.20689655172413793,0.3636363636363636,0.21758445525607323,0.8166666666666667
7,24.0,0.0,4.0,1.0,1.0,0.2,0.8620689655172413,0.034482758620689655,0.33333333333333337,0.41403933560541256,0.8583333333333334
8,24.0,0.0,5.0,0.0,0.0,0.0,0.8275862068965517,0.0,0.0,0.0,0.8166666666666665
9,24.0,0.0,5.0,0.0,0.0,0.0,0.8275862068965517,0.0,0.0,0.0,0.6749999999999999
10,230.0,12.0,43.0,9.0,0.37333333333333335,0.17333333333333334,0.8128735632183908,0.07126436781609195,0.21160173160173162,0.17328287917124513,0.7220277777777777
