,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,911.0,1.0,61.0,6.0,0.8571428571428571,0.08955223880597014,0.9366700715015321,0.007150153217568948,0.16216216216216214,0.26508107631840977,0.8582335035349568
1,908.0,4.0,63.0,4.0,0.5,0.05970149253731343,0.9315628192032687,0.008171603677221655,0.10666666666666667,0.1551412446432959,0.839094003665881
2,906.0,6.0,58.0,9.0,0.6,0.13432835820895522,0.9346271705822268,0.015321756894790603,0.21951219512195122,0.2626089842944681,0.8415406520031423
3,911.0,1.0,63.0,4.0,0.8,0.05970149253731343,0.9346271705822268,0.005107252298263534,0.11111111111111112,0.20758932650334147,0.8403541503011259
4,910.0,2.0,58.0,9.0,0.8181818181818182,0.13432835820895522,0.9387129724208376,0.011235955056179775,0.23076923076923075,0.31653366284393,0.8541175700445143
5,908.0,3.0,60.0,7.0,0.7,0.1044776119402985,0.9355828220858896,0.010224948875255624,0.18181818181818182,0.2540814848903423,0.8378688336582727
6,909.0,2.0,59.0,8.0,0.8,0.11940298507462686,0.9376278118609407,0.010224948875255624,0.20779220779220778,0.2943165386828868,0.8397529367432868
7,907.0,4.0,56.0,11.0,0.7333333333333333,0.16417910447761194,0.9386503067484663,0.015337423312883436,0.2682926829268293,0.32846028190719195,0.8331258089355638
8,909.0,2.0,59.0,8.0,0.8,0.11940298507462686,0.9376278118609407,0.010224948875255624,0.20779220779220778,0.2943165386828868,0.8269492275177351
9,910.0,1.0,60.0,7.0,0.875,0.1044776119402985,0.9376278118609407,0.0081799591002045,0.18666666666666668,0.2899358436182765,0.9025836787522321
10,9089.0,26.0,597.0,73.0,0.7483658008658008,0.10895522388059702,0.9363316768707269,0.010117895018287932,0.18825833128272154,0.26680649823850294,0.8473620365156712
