,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,868.0,44.0,55.0,12.0,0.21428571428571427,0.1791044776119403,0.898876404494382,0.05720122574055159,0.19512195121951217,0.14227975245727748,0.6868126472898664
1,881.0,31.0,62.0,5.0,0.1388888888888889,0.07462686567164178,0.9050051072522982,0.03677221654749745,0.0970873786407767,0.05451735815481436,0.6699152264990835
2,874.0,38.0,52.0,15.0,0.2830188679245283,0.22388059701492538,0.9080694586312564,0.054136874361593465,0.25,0.20331666076380528,0.7535267740246138
3,892.0,20.0,59.0,8.0,0.2857142857142857,0.11940298507462686,0.9193054136874361,0.028600612870275793,0.16842105263157894,0.1476558283777739,0.7147977219167322
4,873.0,39.0,52.0,15.0,0.2777777777777778,0.22388059701492538,0.9070480081716037,0.05515832482124617,0.2479338842975207,0.2003213983514992,0.7020980623199791
5,875.0,36.0,55.0,12.0,0.25,0.1791044776119403,0.9069529652351738,0.049079754601226995,0.20869565217391306,0.16322283318287845,0.686362370365516
6,865.0,46.0,54.0,13.0,0.22033898305084745,0.19402985074626866,0.8977505112474438,0.06032719836400818,0.20634920634920637,0.15229068109246624,0.648516473614365
7,872.0,39.0,53.0,14.0,0.2641509433962264,0.208955223880597,0.9059304703476483,0.0541922290388548,0.23333333333333334,0.1853853416697991,0.7183347805429494
8,880.0,31.0,58.0,9.0,0.225,0.13432835820895522,0.908997955010225,0.0408997955010225,0.16822429906542055,0.1279279146649923,0.6642774055081344
9,861.0,50.0,58.0,9.0,0.15254237288135594,0.13432835820895522,0.8895705521472392,0.06032719836400818,0.14285714285714288,0.08428918075760401,0.6772941002998181
10,8741.0,374.0,558.0,112.0,0.2311717833919625,0.16716417910447762,0.9047506846224707,0.04966954302102851,0.19180239005684047,0.14612069494729102,0.6921935562381056
