,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,88.0,824.0,5.0,62.0,0.06997742663656885,0.9253731343283582,0.15321756894790603,0.9050051072522982,0.13011542497376705,0.018828395070713523,0.6237644016758312
1,129.0,783.0,8.0,59.0,0.07007125890736342,0.8805970149253731,0.1920326864147089,0.8600612870275791,0.12981298129812982,0.01604414010832042,0.6773288164440954
2,145.0,767.0,6.0,61.0,0.07367149758454106,0.9104477611940298,0.21041879468845762,0.8457609805924413,0.13631284916201114,0.048543889353087843,0.6310797983765384
3,150.0,762.0,8.0,59.0,0.07186358099878197,0.8805970149253731,0.21348314606741572,0.8386108273748724,0.13288288288288289,0.030933495151416347,0.6167517674783974
4,176.0,736.0,1.0,66.0,0.08229426433915212,0.9850746268656716,0.24719101123595505,0.8192032686414709,0.15189873417721517,0.11682082192821175,0.7873297983765383
5,129.0,782.0,7.0,60.0,0.07125890736342043,0.8955223880597015,0.19325153374233128,0.8609406952965235,0.132013201320132,0.02710427629377838,0.6439127086848959
6,149.0,762.0,4.0,63.0,0.07636363636363637,0.9402985074626866,0.2167689161554192,0.843558282208589,0.14125560538116594,0.07221900028192355,0.6608368694398481
7,128.0,783.0,6.0,61.0,0.07227488151658767,0.9104477611940298,0.19325153374233128,0.8629856850715747,0.13391877058177826,0.037431753885132306,0.6229663974310664
8,128.0,783.0,2.0,65.0,0.07665094339622641,0.9701492537313433,0.19734151329243355,0.8670756646216768,0.14207650273224043,0.08233696682620292,0.6732719498009404
9,132.0,779.0,2.0,65.0,0.07701421800947868,0.9701492537313433,0.20143149284253578,0.8629856850715747,0.14270032930845225,0.08451632661781319,0.6570768550223633
10,1354.0,7761.0,49.0,621.0,0.0741440615115757,0.926865671641791,0.20183881971294942,0.85661874831586,0.1372987281817775,0.05347790655166003,0.6594319362730514
