,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,23.0,2.0,6.0,6.0,0.75,0.5,0.7837837837837838,0.21621621621621623,0.6,0.47760176745470917,0.7466666666666667
1,23.0,2.0,2.0,10.0,0.8333333333333334,0.8333333333333334,0.8918918918918919,0.32432432432432434,0.8333333333333334,0.7533333333333333,0.9299999999999999
2,18.0,7.0,1.0,11.0,0.6111111111111112,0.9166666666666666,0.7837837837837838,0.4864864864864865,0.7333333333333334,0.5962929667070118,0.86
3,18.0,7.0,2.0,10.0,0.5882352941176471,0.8333333333333334,0.7567567567567568,0.4594594594594595,0.6896551724137931,0.519766161600674,0.8866666666666667
4,16.0,9.0,3.0,9.0,0.5,0.75,0.6756756756756757,0.4864864864864865,0.6,0.3652684665168607,0.7566666666666667
5,20.0,5.0,1.0,11.0,0.6875,0.9166666666666666,0.8378378378378378,0.43243243243243246,0.7857142857142857,0.6771863474748655,0.8533333333333333
6,18.0,7.0,3.0,9.0,0.5625,0.75,0.7297297297297297,0.43243243243243246,0.6428571428571429,0.444108255785842,0.88
7,20.0,4.0,1.0,12.0,0.75,0.9230769230769231,0.8648648648648649,0.43243243243243246,0.8275862068965517,0.7288951613834163,0.9102564102564102
8,12.0,12.0,9.0,3.0,0.2,0.25,0.4166666666666667,0.4166666666666667,0.22222222222222224,-0.23904572186687875,0.3715277777777778
9,18.0,6.0,5.0,7.0,0.5384615384615384,0.5833333333333334,0.6944444444444444,0.3611111111111111,0.5599999999999999,0.32714432804381227,0.6944444444444444
10,186.0,61.0,33.0,88.0,0.602114127702363,0.7256410256410256,0.7435435435435436,0.4048048048048048,0.6494701696770662,0.46505510664336464,0.7889561965811965
