,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,23.0,2.0,5.0,7.0,0.7777777777777778,0.5833333333333334,0.8108108108108109,0.24324324324324326,0.6666666666666666,0.5491816904272475,0.7700000000000001
1,24.0,1.0,3.0,9.0,0.9,0.75,0.8918918918918919,0.2702702702702703,0.8181818181818182,0.7484057129065165,0.9066666666666666
2,19.0,6.0,1.0,11.0,0.6470588235294118,0.9166666666666666,0.8108108108108109,0.4594594594594595,0.7586206896551724,0.6356176554514267,0.86
3,18.0,7.0,2.0,10.0,0.5882352941176471,0.8333333333333334,0.7567567567567568,0.4594594594594595,0.6896551724137931,0.519766161600674,0.8666666666666667
4,19.0,6.0,4.0,8.0,0.5714285714285714,0.6666666666666666,0.7297297297297297,0.3783783783783784,0.6153846153846153,0.4118332493361836,0.77
5,19.0,6.0,1.0,11.0,0.6470588235294118,0.9166666666666666,0.8108108108108109,0.4594594594594595,0.7586206896551724,0.6356176554514267,0.8433333333333334
6,19.0,6.0,3.0,9.0,0.6,0.75,0.7567567567567568,0.40540540540540543,0.6666666666666665,0.4862659205152521,0.8633333333333333
7,20.0,4.0,1.0,12.0,0.75,0.9230769230769231,0.8648648648648649,0.43243243243243246,0.8275862068965517,0.7288951613834163,0.9038461538461539
8,5.0,19.0,3.0,9.0,0.32142857142857145,0.75,0.3888888888888889,0.7777777777777778,0.45000000000000007,-0.0472455591261534,0.3784722222222222
9,18.0,6.0,6.0,6.0,0.5,0.5,0.6666666666666666,0.3333333333333333,0.5,0.25,0.701388888888889
10,184.0,63.0,29.0,92.0,0.6302987861811392,0.7589743589743589,0.7487987987987988,0.42192192192192196,0.6751382525520456,0.49183376479459895,0.7863707264957266
