,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,23.0,2.0,3.0,9.0,0.8181818181818182,0.75,0.8648648648648649,0.2972972972972973,0.7826086956521738,0.6862026857089135,0.9266666666666666
1,24.0,1.0,2.0,10.0,0.9090909090909091,0.8333333333333334,0.918918918918919,0.2972972972972973,0.8695652173913043,0.8125186029787135,0.9099999999999999
2,20.0,5.0,0.0,12.0,0.7058823529411765,1.0,0.8648648648648649,0.4594594594594595,0.8275862068965517,0.7514691493021793,0.965
3,23.0,2.0,0.0,12.0,0.8571428571428571,1.0,0.9459459459459459,0.3783783783783784,0.923076923076923,0.888015443881146,0.9700000000000001
4,20.0,5.0,2.0,10.0,0.6666666666666666,0.8333333333333334,0.8108108108108109,0.40540540540540543,0.7407407407407408,0.6038596398555418,0.9133333333333333
5,22.0,3.0,1.0,11.0,0.7857142857142857,0.9166666666666666,0.8918918918918919,0.3783783783783784,0.8461538461538461,0.7689698952449053,0.98
6,21.0,4.0,4.0,8.0,0.6666666666666666,0.6666666666666666,0.7837837837837838,0.32432432432432434,0.6666666666666666,0.5066666666666667,0.8533333333333333
7,23.0,1.0,2.0,11.0,0.9166666666666666,0.8461538461538461,0.918918918918919,0.32432432432432434,0.8799999999999999,0.8204191653280699,0.9711538461538461
8,17.0,7.0,4.0,8.0,0.5333333333333333,0.6666666666666666,0.6944444444444444,0.4166666666666667,0.5925925925925926,0.3585685828003181,0.7048611111111112
9,22.0,2.0,4.0,8.0,0.8,0.6666666666666666,0.8333333333333334,0.2777777777777778,0.7272727272727272,0.6139406135149204,0.9236111111111112
10,215.0,32.0,22.0,99.0,0.765934555640438,0.817948717948718,0.8527777777777779,0.3559309309309309,0.7856263616443526,0.6810630445281374,0.9117959401709401
