,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,21.0,4.0,4.0,8.0,0.6666666666666666,0.6666666666666666,0.7837837837837838,0.32432432432432434,0.6666666666666666,0.5066666666666667,0.9066666666666666
1,24.0,1.0,2.0,10.0,0.9090909090909091,0.8333333333333334,0.918918918918919,0.2972972972972973,0.8695652173913043,0.8125186029787135,0.8866666666666666
2,20.0,5.0,0.0,12.0,0.7058823529411765,1.0,0.8648648648648649,0.4594594594594595,0.8275862068965517,0.7514691493021793,0.9883333333333333
3,20.0,5.0,1.0,11.0,0.6875,0.9166666666666666,0.8378378378378378,0.43243243243243246,0.7857142857142857,0.6771863474748655,0.95
4,18.0,7.0,3.0,9.0,0.5625,0.75,0.7297297297297297,0.43243243243243246,0.6428571428571429,0.444108255785842,0.7933333333333332
5,23.0,2.0,0.0,12.0,0.8571428571428571,1.0,0.9459459459459459,0.3783783783783784,0.923076923076923,0.888015443881146,0.9733333333333333
6,18.0,7.0,2.0,10.0,0.5882352941176471,0.8333333333333334,0.7567567567567568,0.4594594594594595,0.6896551724137931,0.519766161600674,0.8166666666666667
7,22.0,2.0,2.0,11.0,0.8461538461538461,0.8461538461538461,0.8918918918918919,0.35135135135135137,0.8461538461538461,0.7628205128205128,0.9551282051282052
8,4.0,20.0,0.0,12.0,0.375,1.0,0.4444444444444444,0.8888888888888888,0.5454545454545454,0.25,0.6944444444444444
9,20.0,4.0,4.0,8.0,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.3333333333333333,0.6666666666666666,0.5,0.888888888888889
10,190.0,57.0,18.0,103.0,0.686483859277977,0.8512820512820513,0.7951951951951952,0.43573573573573576,0.7463396673291725,0.61125511405106,0.8853461538461538
