,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,25.0,0.0,3.0,9.0,1.0,0.75,0.918918918918919,0.24324324324324326,0.8571428571428571,0.8183170883849714,0.875
1,23.0,2.0,3.0,9.0,0.8181818181818182,0.75,0.8648648648648649,0.2972972972972973,0.7826086956521738,0.6862026857089135,0.8350000000000001
2,23.0,2.0,1.0,11.0,0.8461538461538461,0.9166666666666666,0.918918918918919,0.35135135135135137,0.8799999999999999,0.8204191653280699,0.9183333333333332
3,24.0,1.0,0.0,12.0,0.9230769230769231,1.0,0.972972972972973,0.35135135135135137,0.9600000000000001,0.9413574486632833,0.98
4,23.0,2.0,0.0,12.0,0.8571428571428571,1.0,0.9459459459459459,0.3783783783783784,0.923076923076923,0.888015443881146,0.9600000000000001
5,24.0,1.0,1.0,11.0,0.9166666666666666,0.9166666666666666,0.9459459459459459,0.32432432432432434,0.9166666666666666,0.8766666666666667,0.9383333333333332
6,24.0,1.0,4.0,8.0,0.8888888888888888,0.6666666666666666,0.8648648648648649,0.24324324324324326,0.761904761904762,0.6837493894061094,0.8133333333333332
7,23.0,1.0,2.0,11.0,0.9166666666666666,0.8461538461538461,0.918918918918919,0.32432432432432434,0.8799999999999999,0.8204191653280699,0.9022435897435899
8,22.0,2.0,4.0,8.0,0.8,0.6666666666666666,0.8333333333333334,0.2777777777777778,0.7272727272727272,0.6139406135149204,0.8680555555555556
9,22.0,2.0,2.0,10.0,0.8333333333333334,0.8333333333333334,0.8888888888888888,0.3333333333333333,0.8333333333333334,0.75,0.875
10,233.0,14.0,20.0,101.0,0.8800111000111001,0.8346153846153846,0.9073573573573575,0.31246246246246245,0.8522005965049443,0.7899087666882151,0.8965299145299145
