,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,22.0,3.0,4.0,8.0,0.7272727272727273,0.6666666666666666,0.8108108108108109,0.2972972972972973,0.6956521739130435,0.5598867684391136,0.7733333333333333
1,25.0,0.0,2.0,10.0,1.0,0.8333333333333334,0.9459459459459459,0.2702702702702703,0.9090909090909091,0.8784104611578831,0.9166666666666667
2,24.0,1.0,1.0,11.0,0.9166666666666666,0.9166666666666666,0.9459459459459459,0.32432432432432434,0.9166666666666666,0.8766666666666667,0.9383333333333332
3,23.0,2.0,1.0,11.0,0.8461538461538461,0.9166666666666666,0.918918918918919,0.35135135135135137,0.8799999999999999,0.8204191653280699,0.9183333333333332
4,21.0,4.0,1.0,11.0,0.7333333333333333,0.9166666666666666,0.8648648648648649,0.40540540540540543,0.8148148148148148,0.7214533591958315,0.8783333333333333
5,24.0,1.0,2.0,10.0,0.9090909090909091,0.8333333333333334,0.918918918918919,0.2972972972972973,0.8695652173913043,0.8125186029787135,0.8966666666666667
6,23.0,2.0,0.0,12.0,0.8571428571428571,1.0,0.9459459459459459,0.3783783783783784,0.923076923076923,0.888015443881146,0.9600000000000001
7,21.0,3.0,2.0,11.0,0.7857142857142857,0.8461538461538461,0.8648648648648649,0.3783783783783784,0.8148148148148148,0.7098674869442498,0.8621794871794871
8,19.0,5.0,3.0,9.0,0.6428571428571429,0.75,0.7777777777777778,0.3888888888888889,0.6923076923076924,0.5237849266164972,0.8368055555555555
9,20.0,4.0,2.0,10.0,0.7142857142857143,0.8333333333333334,0.8333333333333334,0.3888888888888889,0.7692307692307692,0.6446583712203042,0.8333333333333334
10,222.0,25.0,18.0,103.0,0.8132517482517482,0.8512820512820513,0.8827327327327328,0.348048048048048,0.8285219981306937,0.7435681252428477,0.8813985042735043
