,id,nameProject,testCase,isFlaky,prediction
1,12666.0,hbase,org.apache.hadoop.hbase.testkeyvalue.testbasics,False,False
8,12676.0,hbase,org.apache.hadoop.hbase.testhmsg.testserialization,False,False
18,12715.0,hbase,org.apache.hadoop.hbase.io.hfile.testlrublockcache.testscanresistance,False,False
20,12722.0,hbase,org.apache.hadoop.hbase.io.hfile.testcachedblockqueue.testqueue,False,False
22,12724.0,hbase,org.apache.hadoop.hbase.master.testservermanager.testisdead,False,False
28,12739.0,hbase,org.apache.hadoop.hbase.util.testbytes.testsplit2,False,False
36,12750.0,hbase,org.apache.hadoop.hbase.client.testhtablepool.testtablewithstringname,False,False
45,12763.0,hbase,org.apache.hadoop.hbase.regionserver.testmemstore.testputsamekey,False,False
79,12811.0,hbase,org.apache.hadoop.hbase.regionserver.teststorescanner.testdeleteversionsametimestamp,False,False
90,12822.0,hbase,org.apache.hadoop.hbase.filter.testpagefilter.testserialization,False,False
95,12833.0,hbase,org.apache.hadoop.hbase.filter.testfilterlist.testmpall,False,False
114,12890.0,hbase,org.apache.hadoop.hbase.stargate.model.teststorageclusterstatusmodel.testbuildmodel,False,False
115,12891.0,hbase,org.apache.hadoop.hbase.stargate.model.teststorageclusterstatusmodel.testfromxml,False,False
132,12948.0,hbase,org.apache.hadoop.hbase.stargate.model.testtableinfomodel.testfrompb,False,False
136,12966.0,hbase,org.apache.hadoop.hbase.stargate.model.testtablelistmodel.testbuildmodel,False,False
159,13023.0,hbase,org.apache.hadoop.hbase.stargate.testtableresource.testtablelistjson,True,True
172,13043.0,hbase,org.apache.hadoop.hbase.stargate.util.testhtabletokenbucket.testtokenbucket,True,False
180,13056.0,hbase,org.apache.hadoop.hbase.stargate.testversionresource.testgetstargateversionpb,True,True
182,13058.0,hbase,org.apache.hadoop.hbase.stargate.testversionresource.testgetstorageclusterversionxml,True,True
215,13127.0,hbase,org.apache.hadoop.hbase.regionserver.testhregion.testdeletecolumns_postinsert,False,False
228,13143.0,hbase,org.apache.hadoop.hbase.regionserver.testhregion.testscanner_explicitcolumns_fromfilesonly_enforceversions,False,False
240,13157.0,hbase,org.apache.hadoop.hbase.regionserver.testhregion.testbasicsplit,False,False
247,13174.0,hbase,org.apache.hadoop.hbase.regionserver.wal.testhlog.testsplit,True,True
273,13219.0,hbase,org.apache.hadoop.hbase.regionserver.testgetdeletetracker.testisdeleted_deletecolumn,False,False
274,13220.0,hbase,org.apache.hadoop.hbase.regionserver.testgetdeletetracker.testisdeleted_deletefamily,False,False
277,13226.0,hbase,org.apache.hadoop.hbase.master.testmastertransitions.testaddingserverbeforeoldisdead2413,True,False
281,13252.0,hbase,org.apache.hadoop.hbase.mapreduce.testtableinputformatscan.testscanemptytoapp,True,True
285,13256.0,hbase,org.apache.hadoop.hbase.mapreduce.testtableinputformatscan.testscanobbtoopp,True,True
288,13259.0,hbase,org.apache.hadoop.hbase.mapreduce.testtableinputformatscan.testscanyyxtoempty,True,True
292,13267.0,hbase,org.apache.hadoop.hbase.client.testadmin.testcreatetablewithregions,True,True
296,13272.0,hbase,org.apache.hadoop.hbase.client.testadmin.testemptyhhtabledescriptor,False,True
307,13286.0,hbase,org.apache.hadoop.hbase.regionserver.teststorefile.testbasichalfmapfile,True,False
308,13288.0,hbase,org.apache.hadoop.hbase.regionserver.teststorefile.testreference,True,False
330,13333.0,hbase,org.apache.hadoop.hbase.regionserver.testkeyvalueheap.testseek,False,False
341,13345.0,hbase,org.apache.hadoop.hbase.regionserver.testwildcardcolumntracker.teststackoverflow,False,False
356,13364.0,hbase,org.apache.hadoop.hbase.filter.testfilter.testqualifierfilter,False,False
360,13368.0,hbase,org.apache.hadoop.hbase.filter.testfilter.testfilterlist,False,False
0,12665.0,hbase,org.apache.hadoop.hbase.testkeyvalue.testcolumncompare,False,False
29,12740.0,hbase,org.apache.hadoop.hbase.util.testbytes.testsplit3,False,False
34,12745.0,hbase,org.apache.hadoop.hbase.util.testbytes.testincrementbytes,False,False
40,12754.0,hbase,org.apache.hadoop.hbase.client.testhtablepool.testclosetablepool,False,False
49,12767.0,hbase,org.apache.hadoop.hbase.regionserver.testmemstore.testbinary,False,False
75,12806.0,hbase,org.apache.hadoop.hbase.regionserver.testdeletecompare.testdeletecompare_multiple,False,False
89,12821.0,hbase,org.apache.hadoop.hbase.filter.testpagefilter.testpagesize,False,False
91,12826.0,hbase,org.apache.hadoop.hbase.filter.testprefixfilter.testprefixonrow,False,False
92,12827.0,hbase,org.apache.hadoop.hbase.filter.testprefixfilter.testprefixonrowinsidewhilematchrow,False,False
93,12828.0,hbase,org.apache.hadoop.hbase.filter.testprefixfilter.testserialization,False,False
104,12868.0,hbase,org.apache.hadoop.hbase.stargate.auth.testhbcauthenticator.testgetuserunknown,False,False
109,12873.0,hbase,org.apache.hadoop.hbase.stargate.auth.testjdbcauthenticator.testgetadminuser,False,False
117,12898.0,hbase,org.apache.hadoop.hbase.stargate.model.testtableregionmodel.testbuildmodel,False,False
127,12936.0,hbase,org.apache.hadoop.hbase.stargate.model.testversionmodel.testbuildmodel,False,False
134,12957.0,hbase,org.apache.hadoop.hbase.stargate.model.testcellsetmodel.testfromxml,False,False
138,12968.0,hbase,org.apache.hadoop.hbase.stargate.model.testtablelistmodel.testfrompb,False,False
148,13006.0,hbase,org.apache.hadoop.hbase.stargate.test00minicluster.testdfsminicluster,True,True
