,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,23.0,2.0,1.0,11.0,0.8461538461538461,0.9166666666666666,0.918918918918919,0.35135135135135137,0.8799999999999999,0.8204191653280699,0.9600000000000001
1,24.0,1.0,2.0,10.0,0.9090909090909091,0.8333333333333334,0.918918918918919,0.2972972972972973,0.8695652173913043,0.8125186029787135,0.9533333333333334
2,24.0,1.0,0.0,12.0,0.9230769230769231,1.0,0.972972972972973,0.35135135135135137,0.9600000000000001,0.9413574486632833,0.99
3,22.0,3.0,1.0,11.0,0.7857142857142857,0.9166666666666666,0.8918918918918919,0.3783783783783784,0.8461538461538461,0.7689698952449053,0.9833333333333334
4,19.0,6.0,1.0,11.0,0.6470588235294118,0.9166666666666666,0.8108108108108109,0.4594594594594595,0.7586206896551724,0.6356176554514267,0.9533333333333334
5,23.0,2.0,2.0,10.0,0.8333333333333334,0.8333333333333334,0.8918918918918919,0.32432432432432434,0.8333333333333334,0.7533333333333333,0.96
6,20.0,5.0,0.0,12.0,0.7058823529411765,1.0,0.8648648648648649,0.4594594594594595,0.8275862068965517,0.7514691493021793,0.97
7,23.0,1.0,2.0,11.0,0.9166666666666666,0.8461538461538461,0.918918918918919,0.32432432432432434,0.8799999999999999,0.8204191653280699,0.9839743589743589
8,17.0,7.0,2.0,10.0,0.5882352941176471,0.8333333333333334,0.75,0.4722222222222222,0.6896551724137931,0.511478158987012,0.8645833333333334
9,22.0,2.0,4.0,8.0,0.8,0.6666666666666666,0.8333333333333334,0.2777777777777778,0.7272727272727272,0.6139406135149204,0.9444444444444444
10,217.0,30.0,15.0,106.0,0.7955212434624198,0.8762820512820513,0.8772522522522523,0.3695945945945946,0.8272187193116727,0.7429523188131915,0.9563002136752138
