,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,5.0,4.0,1.0,3.0,0.42857142857142855,0.75,0.6153846153846154,0.5384615384615384,0.5454545454545454,0.2828894749305018,0.7222222222222222
1,5.0,4.0,0.0,3.0,0.42857142857142855,1.0,0.6666666666666666,0.5833333333333334,0.6,0.4879500364742666,0.7407407407407407
2,6.0,3.0,1.0,2.0,0.4,0.6666666666666666,0.6666666666666666,0.4166666666666667,0.5,0.29277002188455997,0.8148148148148149
3,9.0,0.0,0.0,3.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0
4,8.0,1.0,1.0,2.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.25,0.6666666666666666,0.5555555555555556,0.9629629629629629
5,6.0,3.0,0.0,3.0,0.5,1.0,0.75,0.5,0.6666666666666666,0.5773502691896257,0.8888888888888888
6,6.0,3.0,0.0,3.0,0.5,1.0,0.75,0.5,0.6666666666666666,0.5773502691896257,0.8518518518518519
7,3.0,6.0,0.0,3.0,0.3333333333333333,1.0,0.5,0.75,0.5,0.3333333333333333,0.4074074074074074
8,7.0,1.0,4.0,0.0,0.0,0.0,0.5833333333333334,0.08333333333333333,0.0,-0.21320071635561041,0.625
9,6.0,2.0,1.0,3.0,0.6,0.75,0.75,0.4166666666666667,0.6666666666666665,0.47809144373375745,0.78125
10,61.0,27.0,8.0,25.0,0.48571428571428565,0.7833333333333333,0.7115384615384615,0.4288461538461538,0.5812121212121213,0.4372089687935616,0.7795138888888888
