,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,6.0,3.0,1.0,3.0,0.5,0.75,0.6923076923076923,0.46153846153846156,0.6,0.38575837490522974,0.75
1,8.0,1.0,2.0,1.0,0.5,0.3333333333333333,0.75,0.16666666666666666,0.4,0.25819888974716115,0.5925925925925926
2,5.0,4.0,1.0,2.0,0.3333333333333333,0.6666666666666666,0.5833333333333334,0.5,0.4444444444444444,0.19245008972987526,0.7407407407407407
3,8.0,1.0,0.0,3.0,0.75,1.0,0.9166666666666666,0.3333333333333333,0.8571428571428571,0.816496580927726,1.0
4,9.0,0.0,0.0,3.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0
5,6.0,3.0,1.0,2.0,0.4,0.6666666666666666,0.6666666666666666,0.4166666666666667,0.5,0.29277002188455997,0.8148148148148149
6,8.0,1.0,0.0,3.0,0.75,1.0,0.9166666666666666,0.3333333333333333,0.8571428571428571,0.816496580927726,0.9629629629629629
7,3.0,6.0,0.0,3.0,0.3333333333333333,1.0,0.5,0.75,0.5,0.3333333333333333,0.7037037037037037
8,7.0,1.0,2.0,2.0,0.6666666666666666,0.5,0.75,0.25,0.5714285714285715,0.408248290463863,0.71875
9,5.0,3.0,1.0,3.0,0.5,0.75,0.6666666666666666,0.5,0.6,0.3535533905932738,0.8125
10,65.0,23.0,8.0,25.0,0.5733333333333334,0.7666666666666666,0.7442307692307693,0.3961538461538462,0.6330158730158729,0.48573055525127484,0.8096064814814815
