,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,5.0,4.0,1.0,3.0,0.42857142857142855,0.75,0.6153846153846154,0.5384615384615384,0.5454545454545454,0.2828894749305018,0.6944444444444444
1,6.0,3.0,1.0,2.0,0.4,0.6666666666666666,0.6666666666666666,0.4166666666666667,0.5,0.29277002188455997,0.6666666666666666
2,6.0,3.0,1.0,2.0,0.4,0.6666666666666666,0.6666666666666666,0.4166666666666667,0.5,0.29277002188455997,0.7777777777777778
3,9.0,0.0,0.0,3.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0
4,9.0,0.0,0.0,3.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0
5,6.0,3.0,0.0,3.0,0.5,1.0,0.75,0.5,0.6666666666666666,0.5773502691896257,0.8148148148148149
6,9.0,0.0,0.0,3.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0
7,4.0,5.0,0.0,3.0,0.375,1.0,0.5833333333333334,0.6666666666666666,0.5454545454545454,0.408248290463863,0.8148148148148149
8,7.0,1.0,2.0,2.0,0.6666666666666666,0.5,0.75,0.25,0.5714285714285715,0.408248290463863,0.75
9,6.0,2.0,0.0,4.0,0.6666666666666666,1.0,0.8333333333333334,0.5,0.8,0.7071067811865476,0.875
10,67.0,21.0,5.0,28.0,0.6436904761904763,0.8583333333333332,0.7865384615384615,0.40384615384615385,0.7129004329004329,0.5969383150003521,0.8393518518518519
