,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,9.0,0.0,0.0,4.0,1.0,1.0,1.0,0.3076923076923077,1.0,1.0,1.0
1,7.0,2.0,1.0,2.0,0.5,0.6666666666666666,0.75,0.3333333333333333,0.5714285714285715,0.408248290463863,0.8518518518518519
2,7.0,2.0,1.0,2.0,0.5,0.6666666666666666,0.75,0.3333333333333333,0.5714285714285715,0.408248290463863,0.7777777777777778
3,9.0,0.0,0.0,3.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0
4,9.0,0.0,2.0,1.0,1.0,0.3333333333333333,0.8333333333333334,0.08333333333333333,0.5,0.5222329678670935,1.0
5,6.0,3.0,0.0,3.0,0.5,1.0,0.75,0.5,0.6666666666666666,0.5773502691896257,1.0
6,8.0,1.0,0.0,3.0,0.75,1.0,0.9166666666666666,0.3333333333333333,0.8571428571428571,0.816496580927726,1.0
7,9.0,0.0,0.0,3.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0
8,8.0,0.0,3.0,1.0,1.0,0.25,0.75,0.08333333333333333,0.4,0.42640143271122083,0.96875
9,7.0,1.0,1.0,3.0,0.75,0.75,0.8333333333333334,0.3333333333333333,0.75,0.625,0.875
10,79.0,9.0,8.0,25.0,0.8,0.7666666666666666,0.8583333333333334,0.28076923076923077,0.7316666666666667,0.6783977831623392,0.947337962962963
