,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,2.0,49.0,0.0,2.0,0.0392156862745098,1.0,0.07547169811320754,0.9622641509433962,0.07547169811320754,0.0392156862745098,0.1470588235294118
1,0.0,51.0,0.0,2.0,0.03773584905660377,1.0,0.03773584905660377,1.0,0.07272727272727272,0.0,0.43137254901960786
2,45.0,6.0,0.0,2.0,0.25,1.0,0.8867924528301887,0.1509433962264151,0.4,0.4696682183138621,0.9803921568627452
3,0.0,51.0,0.0,2.0,0.03773584905660377,1.0,0.03773584905660377,1.0,0.07272727272727272,0.0,0.1764705882352941
4,2.0,49.0,0.0,1.0,0.02,1.0,0.057692307692307696,0.9615384615384616,0.0392156862745098,0.0280056016805602,0.5882352941176471
5,3.0,48.0,0.0,1.0,0.02040816326530612,1.0,0.07692307692307693,0.9423076923076923,0.039999999999999994,0.03464794643376185,0.5882352941176471
6,2.0,49.0,0.0,1.0,0.02,1.0,0.057692307692307696,0.9615384615384616,0.0392156862745098,0.0280056016805602,0.43137254901960786
7,0.0,51.0,0.0,1.0,0.019230769230769232,1.0,0.019230769230769232,1.0,0.03773584905660378,0.0,0.9803921568627451
8,47.0,4.0,0.0,1.0,0.2,1.0,0.9230769230769231,0.09615384615384616,0.33333333333333337,0.42931774420607877,0.9411764705882353
9,3.0,47.0,0.0,2.0,0.04081632653061224,1.0,0.09615384615384616,0.9423076923076923,0.07843137254901959,0.049487165930539354,0.5
10,104.0,405.0,0.0,15.0,0.0685142643414405,1.0,0.22685050798258347,0.8017053701015964,0.11888581710557293,0.10783479645198721,0.5764705882352941
