,id,nameProject,testCase,isFlaky,prediction
17,13531.0,httpcore,org.apache.http.impl.testdefaultconnectionreusestrategy.testconnectiontokens2,False,True
18,13532.0,httpcore,org.apache.http.impl.testdefaultconnectionreusestrategy.testconnectiontokens3,False,True
42,13557.0,httpcore,org.apache.http.impl.io.testcontentlengthoutputstream.testbasics,False,True
55,13572.0,httpcore,org.apache.http.impl.entity.testentitydeserializer.testentitywithunsupportedtransferencoding,False,True
60,13577.0,httpcore,org.apache.http.impl.entity.testentitydeserializer.testentitywithmultiplecontentlengthallwrong,False,True
62,13579.0,httpcore,org.apache.http.impl.entity.testentitydeserializer.testentityneithercontentlengthnortransferencoding,False,True
65,13582.0,httpcore,org.apache.http.impl.entity.teststrictcontentlengthstrategy.testentitywithchunktransferencoding,False,True
72,13589.0,httpcore,org.apache.http.impl.entity.teststrictcontentlengthstrategy.testentitynocontentdelimiter,False,True
77,13594.0,httpcore,org.apache.http.impl.entity.testentityserializer.testentitywithinvalidchunkencodingandhttp10,False,True
79,13596.0,httpcore,org.apache.http.impl.entity.testentityserializer.testentitywithinvalidcontentlength,False,True
113,13630.0,httpcore,org.apache.http.message.testheader.testtostring,False,False
117,13634.0,httpcore,org.apache.http.message.testbasiclineparser.testrlparsesuccess,False,False
129,13646.0,httpcore,org.apache.http.message.testbasicheadervalueparser.testnvparseusingcursor,False,True
131,13648.0,httpcore,org.apache.http.message.testbasicheadervalueparser.testnvparseallwithcursor,False,True
137,13654.0,httpcore,org.apache.http.message.teststatusline.testcloning,False,True
144,13661.0,httpcore,org.apache.http.message.testbasictokeniterator.testtokenchar,False,True
145,13662.0,httpcore,org.apache.http.message.testbasictokeniterator.testinvalid,False,True
153,13670.0,httpcore,org.apache.http.message.testnamevaluepair.testcloning,False,True
157,13674.0,httpcore,org.apache.http.message.testbufferedheader.testcloning,False,True
159,13676.0,httpcore,org.apache.http.message.testbasicheaderelementiterator.testmultiheader,False,True
161,13678.0,httpcore,org.apache.http.message.testbasicheaderelementiterator.testfringecases,False,True
164,13681.0,httpcore,org.apache.http.message.testheaderelement.testinvalidname,False,True
171,13688.0,httpcore,org.apache.http.message.testheadergroup.testclear,False,True
174,13691.0,httpcore,org.apache.http.message.testheadergroup.testsetheaders,False,True
175,13692.0,httpcore,org.apache.http.message.testheadergroup.testfirstlastheaders,False,True
178,13695.0,httpcore,org.apache.http.message.testheadergroup.testheaderremove,False,True
231,13750.0,httpcore,org.apache.http.protocol.testhttprequestexecutor.testexecutionentityenclosingrequestwithexpectcontinuenoresponse,False,True
