,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,48.0,3.0,0.0,2.0,0.4,1.0,0.9433962264150944,0.09433962264150944,0.5714285714285715,0.6135719910778964,1.0
1,50.0,1.0,0.0,2.0,0.6666666666666666,1.0,0.9811320754716981,0.05660377358490566,0.8,0.8084520834544433,1.0
2,47.0,4.0,0.0,2.0,0.3333333333333333,1.0,0.9245283018867925,0.11320754716981132,0.5,0.5542468245138262,0.9607843137254902
3,50.0,1.0,1.0,1.0,0.5,0.5,0.9622641509433962,0.03773584905660377,0.5,0.4803921568627451,0.7843137254901961
4,50.0,1.0,0.0,1.0,0.5,1.0,0.9807692307692307,0.038461538461538464,0.6666666666666666,0.7001400420140049,0.9803921568627451
5,47.0,4.0,0.0,1.0,0.2,1.0,0.9230769230769231,0.09615384615384616,0.33333333333333337,0.42931774420607877,0.9803921568627452
6,48.0,3.0,0.0,1.0,0.25,1.0,0.9423076923076923,0.07692307692307693,0.4,0.485071250072666,0.9607843137254902
7,51.0,0.0,0.0,1.0,1.0,1.0,1.0,0.019230769230769232,1.0,1.0,1.0
8,48.0,3.0,0.0,1.0,0.25,1.0,0.9423076923076923,0.07692307692307693,0.4,0.485071250072666,0.9803921568627451
9,48.0,2.0,0.0,2.0,0.5,1.0,0.9615384615384616,0.07692307692307693,0.6666666666666666,0.6928203230275508,0.99
10,487.0,22.0,1.0,14.0,0.45999999999999996,0.95,0.9561320754716981,0.06865021770682148,0.5838095238095239,0.6249083665301878,0.9637058823529412
