,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,35.0,16.0,2.0,0.0,0.0,0.0,0.660377358490566,0.3018867924528302,0.0,-0.13022340267860238,0.411764705882353
1,43.0,8.0,1.0,1.0,0.1111111111111111,0.5,0.8301886792452831,0.16981132075471697,0.1818181818181818,0.17414875159107188,0.823529411764706
2,43.0,8.0,0.0,2.0,0.2,1.0,0.8490566037735849,0.18867924528301888,0.33333333333333337,0.4106427291215469,0.9803921568627451
3,51.0,0.0,1.0,1.0,1.0,0.5,0.9811320754716981,0.018867924528301886,0.6666666666666666,0.7002746713858894,0.7843137254901961
4,47.0,4.0,0.0,1.0,0.2,1.0,0.9230769230769231,0.09615384615384616,0.33333333333333337,0.42931774420607877,0.9803921568627451
5,49.0,2.0,0.0,1.0,0.3333333333333333,1.0,0.9615384615384616,0.057692307692307696,0.5,0.5659164584181103,1.0
6,49.0,2.0,1.0,0.0,0.0,0.0,0.9423076923076923,0.038461538461538464,0.0,-0.0280056016805602,0.9215686274509804
7,43.0,8.0,0.0,1.0,0.1111111111111111,1.0,0.8461538461538461,0.17307692307692307,0.19999999999999998,0.30607501892727046,0.8627450980392157
8,50.0,1.0,0.0,1.0,0.5,1.0,0.9807692307692307,0.038461538461538464,0.6666666666666666,0.7001400420140049,0.9803921568627451
9,49.0,1.0,1.0,1.0,0.5,0.5,0.9615384615384616,0.038461538461538464,0.5,0.48,0.97
10,459.0,50.0,6.0,9.0,0.29555555555555557,0.65,0.8936139332365747,0.11215529753265605,0.3381818181818182,0.36082864113048096,0.8715098039215686
