,id,nameProject,testCase,isFlaky,prediction
17,13531.0,httpcore,org.apache.http.impl.testdefaultconnectionreusestrategy.testconnectiontokens2,False,False
18,13532.0,httpcore,org.apache.http.impl.testdefaultconnectionreusestrategy.testconnectiontokens3,False,False
42,13557.0,httpcore,org.apache.http.impl.io.testcontentlengthoutputstream.testbasics,False,False
55,13572.0,httpcore,org.apache.http.impl.entity.testentitydeserializer.testentitywithunsupportedtransferencoding,False,False
60,13577.0,httpcore,org.apache.http.impl.entity.testentitydeserializer.testentitywithmultiplecontentlengthallwrong,False,False
62,13579.0,httpcore,org.apache.http.impl.entity.testentitydeserializer.testentityneithercontentlengthnortransferencoding,False,False
65,13582.0,httpcore,org.apache.http.impl.entity.teststrictcontentlengthstrategy.testentitywithchunktransferencoding,False,False
72,13589.0,httpcore,org.apache.http.impl.entity.teststrictcontentlengthstrategy.testentitynocontentdelimiter,False,False
77,13594.0,httpcore,org.apache.http.impl.entity.testentityserializer.testentitywithinvalidchunkencodingandhttp10,False,False
79,13596.0,httpcore,org.apache.http.impl.entity.testentityserializer.testentitywithinvalidcontentlength,False,False
113,13630.0,httpcore,org.apache.http.message.testheader.testtostring,False,False
117,13634.0,httpcore,org.apache.http.message.testbasiclineparser.testrlparsesuccess,False,False
129,13646.0,httpcore,org.apache.http.message.testbasicheadervalueparser.testnvparseusingcursor,False,False
131,13648.0,httpcore,org.apache.http.message.testbasicheadervalueparser.testnvparseallwithcursor,False,False
137,13654.0,httpcore,org.apache.http.message.teststatusline.testcloning,False,False
144,13661.0,httpcore,org.apache.http.message.testbasictokeniterator.testtokenchar,False,False
145,13662.0,httpcore,org.apache.http.message.testbasictokeniterator.testinvalid,False,False
153,13670.0,httpcore,org.apache.http.message.testnamevaluepair.testcloning,False,False
157,13674.0,httpcore,org.apache.http.message.testbufferedheader.testcloning,False,False
159,13676.0,httpcore,org.apache.http.message.testbasicheaderelementiterator.testmultiheader,False,False
161,13678.0,httpcore,org.apache.http.message.testbasicheaderelementiterator.testfringecases,False,False
164,13681.0,httpcore,org.apache.http.message.testheaderelement.testinvalidname,False,False
171,13688.0,httpcore,org.apache.http.message.testheadergroup.testclear,False,False
174,13691.0,httpcore,org.apache.http.message.testheadergroup.testsetheaders,False,False
175,13692.0,httpcore,org.apache.http.message.testheadergroup.testfirstlastheaders,False,False
