,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,47.0,4.0,0.0,2.0,0.3333333333333333,1.0,0.9245283018867925,0.11320754716981132,0.5,0.5542468245138262,0.9803921568627451
1,49.0,2.0,0.0,2.0,0.5,1.0,0.9622641509433962,0.07547169811320754,0.6666666666666666,0.6931032800836721,1.0
2,44.0,7.0,0.0,2.0,0.2222222222222222,1.0,0.8679245283018868,0.16981132075471697,0.3636363636363636,0.4378597182861235,0.9803921568627451
3,47.0,4.0,1.0,1.0,0.2,0.5,0.9056603773584906,0.09433962264150944,0.28571428571428575,0.2748291210036411,0.8529411764705883
4,48.0,3.0,0.0,1.0,0.25,1.0,0.9423076923076923,0.07692307692307693,0.4,0.485071250072666,1.0
5,45.0,6.0,0.0,1.0,0.14285714285714285,1.0,0.8846153846153846,0.1346153846153846,0.25,0.35503580124836315,1.0
6,48.0,3.0,0.0,1.0,0.25,1.0,0.9423076923076923,0.07692307692307693,0.4,0.485071250072666,0.9607843137254902
7,49.0,2.0,0.0,1.0,0.3333333333333333,1.0,0.9615384615384616,0.057692307692307696,0.5,0.5659164584181103,1.0
8,47.0,4.0,0.0,1.0,0.2,1.0,0.9230769230769231,0.09615384615384616,0.33333333333333337,0.42931774420607877,0.9803921568627451
9,46.0,4.0,0.0,2.0,0.3333333333333333,1.0,0.9230769230769231,0.11538461538461539,0.5,0.5537749241945383,0.97
10,470.0,39.0,1.0,14.0,0.27650793650793654,0.95,0.9237300435413645,0.10105224963715528,0.4199350649350649,0.48342263720996853,0.9724901960784316
