,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,48.0,3.0,0.0,2.0,0.4,1.0,0.9433962264150944,0.09433962264150944,0.5714285714285715,0.6135719910778964,0.9803921568627451
1,49.0,2.0,0.0,2.0,0.5,1.0,0.9622641509433962,0.07547169811320754,0.6666666666666666,0.6931032800836721,1.0
2,47.0,4.0,0.0,2.0,0.3333333333333333,1.0,0.9245283018867925,0.11320754716981132,0.5,0.5542468245138262,0.9803921568627451
3,48.0,3.0,1.0,1.0,0.25,0.5,0.9245283018867925,0.07547169811320754,0.3333333333333333,0.31826171024250244,0.8529411764705883
4,48.0,3.0,0.0,1.0,0.25,1.0,0.9423076923076923,0.07692307692307693,0.4,0.485071250072666,1.0
5,46.0,5.0,0.0,1.0,0.16666666666666666,1.0,0.9038461538461539,0.11538461538461539,0.2857142857142857,0.38771999869186646,1.0
6,48.0,3.0,0.0,1.0,0.25,1.0,0.9423076923076923,0.07692307692307693,0.4,0.485071250072666,0.9607843137254902
7,49.0,2.0,0.0,1.0,0.3333333333333333,1.0,0.9615384615384616,0.057692307692307696,0.5,0.5659164584181103,1.0
8,47.0,4.0,0.0,1.0,0.2,1.0,0.9230769230769231,0.09615384615384616,0.33333333333333337,0.42931774420607877,0.9803921568627451
9,47.0,3.0,0.0,2.0,0.4,1.0,0.9423076923076923,0.09615384615384616,0.5714285714285715,0.6131883886702356,0.97
10,477.0,32.0,1.0,14.0,0.30833333333333335,0.95,0.937010159651669,0.08777213352685051,0.45619047619047615,0.5145468896049521,0.9724901960784316
