,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,50.0,1.0,1.0,1.0,0.5,0.5,0.9622641509433962,0.03773584905660377,0.5,0.4803921568627451,0.9901960784313725
1,50.0,1.0,2.0,0.0,0.0,0.0,0.9433962264150944,0.018867924528301886,0.0,-0.027461751819054487,0.9803921568627451
2,49.0,2.0,1.0,1.0,0.3333333333333333,0.5,0.9433962264150944,0.05660377358490566,0.4,0.37997247922358834,0.9607843137254902
3,51.0,0.0,2.0,0.0,0.0,0.0,0.9622641509433962,0.0,0.0,0.0,0.6176470588235293
4,51.0,0.0,0.0,1.0,1.0,1.0,1.0,0.019230769230769232,1.0,1.0,1.0
5,50.0,1.0,0.0,1.0,0.5,1.0,0.9807692307692307,0.038461538461538464,0.6666666666666666,0.7001400420140049,0.9803921568627451
6,51.0,0.0,0.0,1.0,1.0,1.0,1.0,0.019230769230769232,1.0,1.0,1.0
7,51.0,0.0,0.0,1.0,1.0,1.0,1.0,0.019230769230769232,1.0,1.0,1.0
8,51.0,0.0,1.0,0.0,0.0,0.0,0.9807692307692307,0.0,0.0,0.0,0.9803921568627451
9,49.0,1.0,0.0,2.0,0.6666666666666666,1.0,0.9807692307692307,0.057692307692307696,0.8,0.8082903768654761,1.0
10,503.0,6.0,7.0,8.0,0.5,0.6,0.9753628447024673,0.026705370101596522,0.5366666666666666,0.534133330314676,0.9509803921568627
