,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,50.0,1.0,2.0,0.0,0.0,0.0,0.9433962264150944,0.018867924528301886,0.0,-0.027461751819054487,0.9803921568627451
1,50.0,1.0,2.0,0.0,0.0,0.0,0.9433962264150944,0.018867924528301886,0.0,-0.027461751819054487,0.9803921568627452
2,49.0,2.0,1.0,1.0,0.3333333333333333,0.5,0.9433962264150944,0.05660377358490566,0.4,0.37997247922358834,0.9803921568627452
3,51.0,0.0,2.0,0.0,0.0,0.0,0.9622641509433962,0.0,0.0,0.0,0.7254901960784315
4,51.0,0.0,0.0,1.0,1.0,1.0,1.0,0.019230769230769232,1.0,1.0,1.0
5,50.0,1.0,0.0,1.0,0.5,1.0,0.9807692307692307,0.038461538461538464,0.6666666666666666,0.7001400420140049,1.0
6,51.0,0.0,1.0,0.0,0.0,0.0,0.9807692307692307,0.0,0.0,0.0,0.9607843137254902
7,51.0,0.0,1.0,0.0,0.0,0.0,0.9807692307692307,0.0,0.0,0.0,1.0
8,51.0,0.0,1.0,0.0,0.0,0.0,0.9807692307692307,0.0,0.0,0.0,0.9607843137254902
9,49.0,1.0,0.0,2.0,0.6666666666666666,1.0,0.9807692307692307,0.057692307692307696,0.8,0.8082903768654761,0.99
10,503.0,6.0,10.0,5.0,0.25,0.35,0.9696298984034832,0.020972423802612484,0.2866666666666666,0.28334793944649606,0.9578235294117647
