,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,11.0,4.0,1.0,1.0,0.2,0.5,0.7058823529411765,0.29411764705882354,0.28571428571428575,0.1649915822768611,0.65
1,9.0,6.0,0.0,1.0,0.14285714285714285,1.0,0.625,0.4375,0.25,0.29277002188455997,0.6
2,10.0,5.0,1.0,0.0,0.0,0.0,0.625,0.3125,0.0,-0.17407765595569785,0.6
3,9.0,5.0,1.0,1.0,0.16666666666666666,0.5,0.625,0.375,0.25,0.09759000729485333,0.5714285714285714
4,7.0,7.0,1.0,1.0,0.125,0.5,0.5,0.5,0.2,0.0,0.6964285714285714
5,12.0,2.0,0.0,2.0,0.5,1.0,0.875,0.25,0.6666666666666666,0.6546536707079772,1.0
6,10.0,4.0,1.0,1.0,0.2,0.5,0.6875,0.3125,0.28571428571428575,0.15289415743128767,0.75
7,10.0,4.0,2.0,0.0,0.0,0.0,0.625,0.25,0.0,-0.2182178902359924,0.625
8,11.0,3.0,1.0,1.0,0.25,0.5,0.75,0.25,0.3333333333333333,0.2182178902359924,0.8571428571428572
9,8.0,6.0,0.0,2.0,0.25,1.0,0.625,0.5,0.4,0.3779644730092272,0.8928571428571429
10,97.0,46.0,8.0,10.0,0.18345238095238095,0.55,0.6643382352941176,0.34816176470588234,0.2671428571428572,0.15667862566490687,0.7242857142857143
