,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,15.0,0.0,2.0,0.0,0.0,0.0,0.8823529411764706,0.0,0.0,0.0,0.3833333333333333
1,15.0,0.0,1.0,0.0,0.0,0.0,0.9375,0.0,0.0,0.0,0.2666666666666667
2,15.0,0.0,1.0,0.0,0.0,0.0,0.9375,0.0,0.0,0.0,0.1333333333333333
3,14.0,0.0,2.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.28571428571428575
4,14.0,0.0,2.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.48214285714285715
5,14.0,0.0,2.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.2142857142857143
6,14.0,0.0,2.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.2857142857142857
7,14.0,0.0,2.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.625
8,14.0,0.0,2.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.17857142857142855
9,14.0,0.0,2.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.1785714285714286
10,143.0,0.0,18.0,0.0,0.0,0.0,0.8882352941176471,0.0,0.0,0.0,0.30333333333333334
