,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,9.0,6.0,1.0,1.0,0.14285714285714285,0.5,0.5882352941176471,0.4117647058823529,0.22222222222222224,0.06546536707079773,0.65
1,12.0,3.0,0.0,1.0,0.25,1.0,0.8125,0.25,0.4,0.4472135954999579,0.7999999999999999
2,10.0,5.0,0.0,1.0,0.16666666666666666,1.0,0.6875,0.375,0.2857142857142857,0.3333333333333333,0.7333333333333334
3,6.0,8.0,2.0,0.0,0.0,0.0,0.375,0.5,0.0,-0.3779644730092272,0.39285714285714285
4,7.0,7.0,0.0,2.0,0.2222222222222222,1.0,0.5625,0.5625,0.3636363636363636,0.3333333333333333,0.9821428571428571
5,12.0,2.0,0.0,2.0,0.5,1.0,0.875,0.25,0.6666666666666666,0.6546536707079772,1.0
6,9.0,5.0,0.0,2.0,0.2857142857142857,1.0,0.6875,0.4375,0.4444444444444445,0.42857142857142855,0.8214285714285714
7,9.0,5.0,0.0,2.0,0.2857142857142857,1.0,0.6875,0.4375,0.4444444444444445,0.42857142857142855,0.6607142857142857
8,12.0,2.0,1.0,1.0,0.3333333333333333,0.5,0.8125,0.1875,0.4,0.30261376633440124,0.8214285714285714
9,10.0,4.0,0.0,2.0,0.3333333333333333,1.0,0.75,0.375,0.5,0.4879500364742666,0.9642857142857143
10,96.0,47.0,4.0,14.0,0.251984126984127,0.8,0.6838235294117647,0.3786764705882353,0.37271284271284266,0.3103741486887698,0.7826190476190475
