,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,15.0,0.0,1.0,1.0,1.0,0.5,0.9411764705882353,0.058823529411764705,0.6666666666666666,0.6846531968814576,0.9833333333333334
1,14.0,1.0,1.0,0.0,0.0,0.0,0.875,0.0625,0.0,-0.06666666666666667,0.9333333333333333
2,14.0,1.0,1.0,0.0,0.0,0.0,0.875,0.0625,0.0,-0.06666666666666667,0.9333333333333333
3,11.0,3.0,0.0,2.0,0.4,1.0,0.8125,0.3125,0.5714285714285715,0.5606119105813882,1.0
4,14.0,0.0,2.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.9107142857142856
5,14.0,0.0,1.0,1.0,1.0,0.5,0.9375,0.0625,0.6666666666666666,0.6831300510639733,1.0
6,14.0,0.0,1.0,1.0,1.0,0.5,0.9375,0.0625,0.6666666666666666,0.6831300510639733,1.0
7,11.0,3.0,0.0,2.0,0.4,1.0,0.8125,0.3125,0.5714285714285715,0.5606119105813882,0.9285714285714285
8,13.0,1.0,0.0,2.0,0.6666666666666666,1.0,0.9375,0.1875,0.8,0.7867957924694432,1.0
9,12.0,2.0,1.0,1.0,0.3333333333333333,0.5,0.8125,0.1875,0.4,0.30261376633440124,0.8571428571428571
10,132.0,11.0,8.0,10.0,0.48,0.5,0.8816176470588235,0.13088235294117648,0.43428571428571433,0.4128213345642691,0.9546428571428571
