,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,11.0,4.0,1.0,1.0,0.2,0.5,0.7058823529411765,0.29411764705882354,0.28571428571428575,0.1649915822768611,0.7333333333333334
1,11.0,4.0,0.0,1.0,0.2,1.0,0.75,0.3125,0.33333333333333337,0.38297084310253526,0.8666666666666667
2,10.0,5.0,0.0,1.0,0.16666666666666666,1.0,0.6875,0.375,0.2857142857142857,0.3333333333333333,0.9
3,8.0,6.0,2.0,0.0,0.0,0.0,0.5,0.375,0.0,-0.29277002188455997,0.3214285714285714
4,3.0,11.0,0.0,2.0,0.15384615384615385,1.0,0.3125,0.8125,0.2666666666666667,0.18156825980064073,0.8571428571428571
5,8.0,6.0,1.0,1.0,0.14285714285714285,0.5,0.5625,0.4375,0.22222222222222224,0.047619047619047616,0.6785714285714285
6,13.0,1.0,1.0,1.0,0.5,0.5,0.875,0.125,0.5,0.42857142857142855,0.9464285714285715
7,7.0,7.0,1.0,1.0,0.125,0.5,0.5,0.5,0.2,0.0,0.4107142857142857
8,13.0,1.0,1.0,1.0,0.5,0.5,0.875,0.125,0.5,0.42857142857142855,0.8214285714285714
9,7.0,7.0,0.0,2.0,0.2222222222222222,1.0,0.5625,0.5625,0.3636363636363636,0.3333333333333333,0.6964285714285714
10,91.0,52.0,7.0,11.0,0.22105921855921856,0.65,0.6330882352941176,0.39191176470588235,0.29572871572871573,0.20081892347240485,0.7232142857142857
