,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,14.0,1.0,0.0,2.0,0.6666666666666666,1.0,0.9411764705882353,0.17647058823529413,0.8,0.7888106377466154,0.9833333333333334
1,13.0,2.0,0.0,1.0,0.3333333333333333,1.0,0.875,0.1875,0.5,0.53748384988657,0.9
2,15.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0625,1.0,1.0,1.0
3,11.0,3.0,0.0,2.0,0.4,1.0,0.8125,0.3125,0.5714285714285715,0.5606119105813882,1.0
4,12.0,2.0,0.0,2.0,0.5,1.0,0.875,0.25,0.6666666666666666,0.6546536707079772,0.9821428571428572
5,14.0,0.0,0.0,2.0,1.0,1.0,1.0,0.125,1.0,1.0,1.0
6,14.0,0.0,0.0,2.0,1.0,1.0,1.0,0.125,1.0,1.0,1.0
7,11.0,3.0,1.0,1.0,0.25,0.5,0.75,0.25,0.3333333333333333,0.2182178902359924,0.6071428571428572
8,13.0,1.0,0.0,2.0,0.6666666666666666,1.0,0.9375,0.1875,0.8,0.7867957924694432,1.0
9,13.0,1.0,0.0,2.0,0.6666666666666666,1.0,0.9375,0.1875,0.8,0.7867957924694432,0.9285714285714286
10,130.0,13.0,1.0,17.0,0.6483333333333334,0.95,0.9128676470588235,0.18639705882352942,0.7471428571428571,0.733336954409743,0.9401190476190477
