,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,7.0,8.0,1.0,1.0,0.1111111111111111,0.5,0.47058823529411764,0.5294117647058824,0.1818181818181818,-0.02151657414559676,0.4166666666666667
1,9.0,6.0,0.0,1.0,0.14285714285714285,1.0,0.625,0.4375,0.25,0.29277002188455997,0.9333333333333333
2,15.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0625,1.0,1.0,1.0
3,8.0,6.0,2.0,0.0,0.0,0.0,0.5,0.375,0.0,-0.29277002188455997,0.3214285714285714
4,8.0,6.0,0.0,2.0,0.25,1.0,0.625,0.5,0.4,0.3779644730092272,0.5892857142857142
5,9.0,5.0,2.0,0.0,0.0,0.0,0.5625,0.3125,0.0,-0.2548235957188128,0.6428571428571428
6,9.0,5.0,1.0,1.0,0.16666666666666666,0.5,0.625,0.375,0.25,0.09759000729485333,0.6428571428571428
7,7.0,7.0,1.0,1.0,0.125,0.5,0.5,0.5,0.2,0.0,0.5178571428571428
8,10.0,4.0,2.0,0.0,0.0,0.0,0.625,0.25,0.0,-0.2182178902359924,0.4642857142857143
9,10.0,4.0,1.0,1.0,0.2,0.5,0.6875,0.3125,0.28571428571428575,0.15289415743128767,0.6785714285714285
10,92.0,51.0,10.0,8.0,0.19956349206349205,0.5,0.6220588235294118,0.3654411764705882,0.25675324675324673,0.11338905776349664,0.6207142857142858
