,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,15.0,0.0,2.0,0.0,0.0,0.0,0.8823529411764706,0.0,0.0,0.0,0.55
1,15.0,0.0,1.0,0.0,0.0,0.0,0.9375,0.0,0.0,0.0,0.6666666666666667
2,15.0,0.0,1.0,0.0,0.0,0.0,0.9375,0.0,0.0,0.0,0.33333333333333337
3,14.0,0.0,2.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.2857142857142857
4,14.0,0.0,2.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.875
5,14.0,0.0,2.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.9285714285714286
6,14.0,0.0,2.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.7142857142857142
7,14.0,0.0,2.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.6607142857142857
8,14.0,0.0,2.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.6785714285714286
9,14.0,0.0,2.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.5714285714285714
10,143.0,0.0,18.0,0.0,0.0,0.0,0.8882352941176471,0.0,0.0,0.0,0.6264285714285714
