,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,10.0,5.0,1.0,1.0,0.16666666666666666,0.5,0.6470588235294118,0.35294117647058826,0.25,0.11236664374387369,0.55
1,7.0,8.0,1.0,0.0,0.0,0.0,0.4375,0.5,0.0,-0.2581988897471611,0.4
2,10.0,5.0,0.0,1.0,0.16666666666666666,1.0,0.6875,0.375,0.2857142857142857,0.3333333333333333,0.8666666666666667
3,10.0,4.0,0.0,2.0,0.3333333333333333,1.0,0.75,0.375,0.5,0.4879500364742666,0.7857142857142857
4,9.0,5.0,0.0,2.0,0.2857142857142857,1.0,0.6875,0.4375,0.4444444444444445,0.42857142857142855,0.8035714285714286
5,7.0,7.0,2.0,0.0,0.0,0.0,0.4375,0.4375,0.0,-0.3333333333333333,0.32142857142857145
6,7.0,7.0,1.0,1.0,0.125,0.5,0.5,0.5,0.2,0.0,0.5357142857142857
7,7.0,7.0,1.0,1.0,0.125,0.5,0.5,0.5,0.2,0.0,0.625
8,11.0,3.0,1.0,1.0,0.25,0.5,0.75,0.25,0.3333333333333333,0.2182178902359924,0.5357142857142857
9,6.0,8.0,1.0,1.0,0.1111111111111111,0.5,0.4375,0.5625,0.1818181818181818,-0.047619047619047616,0.5
10,84.0,59.0,8.0,10.0,0.15634920634920635,0.55,0.5834558823529411,0.42904411764705885,0.23953102453102454,0.09412880616593525,0.5923809523809523
