,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,131.0,36.0,2.0,0.0,0.0,0.0,0.7751479289940828,0.21301775147928995,0.0,-0.05693537588089221,0.5988023952095809
1,109.0,58.0,0.0,1.0,0.01694915254237288,1.0,0.6547619047619048,0.35119047619047616,0.03333333333333333,0.10517899277740078,0.7724550898203593
2,76.0,91.0,0.0,1.0,0.010869565217391304,1.0,0.4583333333333333,0.5476190476190477,0.02150537634408602,0.07033227198211432,0.934131736526946
3,102.0,64.0,0.0,2.0,0.030303030303030304,1.0,0.6190476190476191,0.39285714285714285,0.05882352941176471,0.13645488002480852,0.7319277108433735
4,102.0,64.0,0.0,2.0,0.030303030303030304,1.0,0.6190476190476191,0.39285714285714285,0.05882352941176471,0.13645488002480852,0.9337349397590362
5,116.0,50.0,1.0,1.0,0.0196078431372549,0.5,0.6964285714285714,0.30357142857142855,0.03773584905660377,0.04689179684458716,0.7921686746987951
6,106.0,60.0,0.0,2.0,0.03225806451612903,1.0,0.6428571428571429,0.36904761904761907,0.0625,0.14352185591315733,0.9006024096385542
7,107.0,59.0,0.0,2.0,0.03278688524590164,1.0,0.6488095238095238,0.3630952380952381,0.06349206349206349,0.14537439660622273,0.9246987951807228
8,102.0,64.0,1.0,1.0,0.015384615384615385,0.5,0.6130952380952381,0.3869047619047619,0.029850746268656723,0.025488205740474838,0.5963855421686748
9,100.0,66.0,1.0,1.0,0.014925373134328358,0.5,0.6011904761904762,0.39880952380952384,0.02898550724637681,0.022683589896771238,0.6355421686746988
10,1051.0,612.0,5.0,13.0,0.02033875597840541,0.75,0.6328719357565512,0.37189701324316704,0.03950499345646496,0.07754454939294533,0.7820449462520742
