,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,40.0,127.0,0.0,2.0,0.015503875968992248,1.0,0.2485207100591716,0.7633136094674556,0.030534351145038167,0.060938520051818844,0.467065868263473
1,48.0,119.0,0.0,1.0,0.008333333333333333,1.0,0.2916666666666667,0.7142857142857143,0.01652892561983471,0.04894087842323964,0.6616766467065869
2,39.0,128.0,0.0,1.0,0.007751937984496124,1.0,0.23809523809523808,0.7678571428571429,0.015384615384615384,0.042548006095781264,0.6347305389221557
3,41.0,125.0,0.0,2.0,0.015748031496062992,1.0,0.25595238095238093,0.7559523809523809,0.031007751937984496,0.06236644966813751,0.6566265060240963
4,27.0,139.0,0.0,2.0,0.014184397163120567,1.0,0.17261904761904762,0.8392857142857143,0.027972027972027972,0.048032288550506605,0.29668674698795183
5,38.0,128.0,0.0,2.0,0.015384615384615385,1.0,0.23809523809523808,0.7738095238095238,0.030303030303030307,0.05934458210648958,0.45933734939759036
6,6.0,160.0,0.0,2.0,0.012345679012345678,1.0,0.047619047619047616,0.9642857142857143,0.024390243902439022,0.021124141684149264,0.338855421686747
7,5.0,161.0,0.0,2.0,0.012269938650306749,1.0,0.041666666666666664,0.9702380952380952,0.024242424242424246,0.019224371650867687,0.3237951807228916
8,41.0,125.0,0.0,2.0,0.015748031496062992,1.0,0.25595238095238093,0.7559523809523809,0.031007751937984496,0.06236644966813751,0.8689759036144578
9,55.0,111.0,0.0,2.0,0.017699115044247787,1.0,0.3392857142857143,0.6726190476190477,0.034782608695652174,0.07657783375817148,0.6867469879518072
10,340.0,1323.0,0.0,18.0,0.013496895553358385,1.0,0.21294730910115525,0.797759932375317,0.026615373114103096,0.05014635216572995,0.5394497150277757
