,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,166.0,1.0,1.0,1.0,0.5,0.5,0.9881656804733728,0.011834319526627219,0.5,0.4940119760479042,0.747005988023952
1,167.0,0.0,0.0,1.0,1.0,1.0,1.0,0.005952380952380952,1.0,1.0,1.0
2,166.0,1.0,0.0,1.0,0.5,1.0,0.9940476190476191,0.011904761904761904,0.6666666666666666,0.7049865162000988,0.997005988023952
3,165.0,1.0,0.0,2.0,0.6666666666666666,1.0,0.9940476190476191,0.017857142857142856,0.8,0.8140335388727166,0.996987951807229
4,165.0,1.0,1.0,1.0,0.5,0.5,0.9880952380952381,0.011904761904761904,0.5,0.4939759036144578,0.746987951807229
5,165.0,1.0,0.0,2.0,0.6666666666666666,1.0,0.9940476190476191,0.017857142857142856,0.8,0.8140335388727166,0.996987951807229
6,165.0,1.0,0.0,2.0,0.6666666666666666,1.0,0.9940476190476191,0.017857142857142856,0.8,0.8140335388727166,0.996987951807229
7,166.0,0.0,1.0,1.0,1.0,0.5,0.9940476190476191,0.005952380952380952,0.6666666666666666,0.7049865162000988,0.75
8,160.0,6.0,2.0,0.0,0.0,0.0,0.9523809523809523,0.03571428571428571,0.0,-0.021124141684149264,0.4789156626506024
9,166.0,0.0,0.0,2.0,1.0,1.0,1.0,0.011904761904761904,1.0,1.0,1.0
10,1651.0,12.0,5.0,13.0,0.65,0.75,0.9898879966187659,0.014873908143138914,0.6733333333333333,0.6818937386996561,0.8710879445927422
