,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,9.0,0.0,0.0,2.0,1.0,1.0,1.0,0.18181818181818182,1.0,1.0,1.0
1,9.0,0.0,0.0,2.0,1.0,1.0,1.0,0.18181818181818182,1.0,1.0,1.0
2,9.0,0.0,0.0,2.0,1.0,1.0,1.0,0.18181818181818182,1.0,1.0,1.0
3,9.0,0.0,0.0,2.0,1.0,1.0,1.0,0.18181818181818182,1.0,1.0,1.0
4,9.0,0.0,0.0,2.0,1.0,1.0,1.0,0.18181818181818182,1.0,1.0,1.0
5,9.0,0.0,0.0,2.0,1.0,1.0,1.0,0.18181818181818182,1.0,1.0,1.0
6,8.0,0.0,1.0,2.0,1.0,0.6666666666666666,0.9090909090909091,0.18181818181818182,0.8,0.769800358919501,0.9375
7,8.0,0.0,0.0,2.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0
8,8.0,0.0,0.0,2.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0
9,8.0,0.0,0.0,2.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0
10,86.0,0.0,1.0,20.0,1.0,0.9666666666666666,0.990909090909091,0.18727272727272726,0.9800000000000001,0.97698003589195,0.99375
