,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,7.0,2.0,0.0,2.0,0.5,1.0,0.8181818181818182,0.36363636363636365,0.6666666666666666,0.6236095644623235,1.0
1,9.0,0.0,0.0,2.0,1.0,1.0,1.0,0.18181818181818182,1.0,1.0,1.0
2,6.0,3.0,0.0,2.0,0.4,1.0,0.7272727272727273,0.45454545454545453,0.5714285714285715,0.5163977794943223,1.0
3,9.0,0.0,0.0,2.0,1.0,1.0,1.0,0.18181818181818182,1.0,1.0,1.0
4,9.0,0.0,0.0,2.0,1.0,1.0,1.0,0.18181818181818182,1.0,1.0,1.0
5,8.0,1.0,0.0,2.0,0.6666666666666666,1.0,0.9090909090909091,0.2727272727272727,0.8,0.769800358919501,1.0
6,8.0,0.0,1.0,2.0,1.0,0.6666666666666666,0.9090909090909091,0.18181818181818182,0.8,0.769800358919501,0.9375
7,8.0,0.0,0.0,2.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0
8,8.0,0.0,0.0,2.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0
9,5.0,3.0,0.0,2.0,0.4,1.0,0.7,0.5,0.5714285714285715,0.5,1.0
10,77.0,9.0,1.0,20.0,0.7966666666666666,0.9666666666666666,0.9063636363636363,0.27181818181818185,0.840952380952381,0.8179608061795648,0.99375
