,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,49.0,15.0,1.0,1.0,0.0625,0.5,0.7575757575757576,0.24242424242424243,0.1111111111111111,0.10625,0.453125
1,59.0,5.0,2.0,0.0,0.0,0.0,0.8939393939393939,0.07575757575757576,0.0,-0.05061102063618225,0.8515625
2,49.0,15.0,2.0,0.0,0.0,0.0,0.7424242424242424,0.22727272727272727,0.0,-0.09587062360592132,0.6953125
3,51.0,13.0,2.0,0.0,0.0,0.0,0.7727272727272727,0.19696969696969696,0.0,-0.08755052449655937,0.1875
4,58.0,6.0,2.0,0.0,0.0,0.0,0.8787878787878788,0.09090909090909091,0.0,-0.05590169943749474,0.6875
5,47.0,17.0,0.0,1.0,0.05555555555555555,1.0,0.7384615384615385,0.27692307692307694,0.10526315789473684,0.2019866607256804,0.859375
6,43.0,21.0,1.0,0.0,0.0,0.0,0.6615384615384615,0.3230769230769231,0.0,-0.08635615996346968,0.53125
7,48.0,16.0,1.0,0.0,0.0,0.0,0.7384615384615385,0.24615384615384617,0.0,-0.07142857142857142,0.453125
8,54.0,10.0,0.0,1.0,0.09090909090909091,1.0,0.8461538461538461,0.16923076923076924,0.16666666666666669,0.27695585470349865,1.0
9,52.0,12.0,1.0,0.0,0.0,0.0,0.8,0.18461538461538463,0.0,-0.05947886892886081,0.703125
10,510.0,130.0,12.0,3.0,0.020896464646464646,0.25,0.783006993006993,0.2033333333333333,0.038304093567251465,0.007799504693211945,0.6421875
